,NAME,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14
BK0825,新零售,77.36,64.96,52.83,63.34,71.16,76.01,82.75,81.4,78.44,82.48,85.18,89.49,89.76,88.14,84.64,88.95,91.11,91.64,88.95,84.91,83.56,91.64,92.18,86.52,88.68,86.52,79.51,62.53,69.81,70.89,61.99,38.81,28.84,52.83,63.34,66.58,68.73,71.7,74.12,63.88,74.39,72.51,69.81,64.96,44.2,53.64,53.64,68.19,73.58,74.39,74.39,81.67,85.98,83.29,75.47,72.78,73.58,75.2,68.73,61.46,60.38,54.45,46.9,47.44,47.71,45.28,47.44,45.01,40.43,34.23,28.57,25.34,20.22,22.91,24.53,13.75,15.63,13.48,16.44,16.17,15.36,14.02,12.4,11.86,16.44,15.09,9.43,9.16,9.7,10.24,9.97,6.74,6.47,8.63,7.01,7.01,6.2,5.12,5.12,6.2,6.2,7.82,8.09,8.36,11.59,9.7,10.78,11.05,14.02,14.82,12.94,15.36,17.52,14.29,16.44,19.68,31.27,35.58,31.81,25.34,34.5,35.31,39.62,33.15,31.81,42.05,46.09,46.36,41.51,29.38
BK0525,参股银行,77.09,73.85,75.2,72.24,69.81,66.58,70.62,68.73,70.35,60.65,56.87,47.98,66.85,67.65,68.46,62.26,65.23,56.6,59.3,58.22,54.18,54.18,49.87,38.27,45.28,56.06,46.9,39.08,41.78,48.79,44.2,49.87,47.71,55.53,54.45,54.99,58.22,68.73,74.93,73.32,76.82,74.93,71.97,67.39,67.39,68.46,68.46,75.47,77.63,77.9,76.28,76.82,75.74,70.89,64.96,56.06,55.8,56.87,39.89,33.15,35.31,39.89,34.77,37.74,34.77,33.69,36.39,34.23,30.73,28.84,26.15,28.03,31.27,25.34,25.88,25.88,25.61,26.68,25.34,28.03,27.76,23.72,29.65,28.84,30.46,33.15,42.86,47.98,48.25,47.17,44.47,40.7,39.62,43.13,40.16,44.2,37.47,34.5,34.23,29.38,30.73,34.23,36.12,41.51,39.89,41.78,37.74,37.2,37.74,36.39,42.05,38.54,39.62,29.38,39.89,42.59,55.8,63.34,64.15,66.85,69.0,67.92,69.81,71.43,71.16,71.16,74.12,73.32,76.55,76.01
BK0853,电子竞技,76.82,70.62,65.77,64.96,69.54,67.65,70.08,63.61,72.51,77.36,82.21,83.56,73.32,51.48,40.7,42.05,27.22,26.15,35.04,14.82,16.98,46.09,47.44,40.97,49.6,53.64,55.26,49.33,52.29,39.08,21.02,21.83,36.93,32.88,41.24,62.53,66.85,59.84,44.2,40.7,40.16,25.88,40.16,43.67,29.38,37.2,25.61,42.86,37.47,39.08,44.74,42.32,44.74,64.15,46.09,27.22,25.88,46.63,42.59,58.76,66.31,68.19,56.6,49.87,50.4,56.06,54.45,55.53,58.49,54.45,54.18,54.45,44.47,36.93,38.81,38.01,54.45,40.97,40.7,33.15,36.12,36.39,47.98,52.83,66.31,59.03,67.12,64.42,70.35,61.99,49.06,56.6,54.45,46.36,45.82,51.48,37.2,33.69,29.92,14.56,11.59,7.28,5.66,4.31,1.89,1.62,1.62,1.35,1.35,1.35,2.16,1.62,1.62,0.81,0.27,3.5,7.82,12.4,18.33,24.53,49.87,57.68,74.93,62.8,72.78,92.18,87.06,89.76,92.45,92.99
BK0595,风能,76.55,82.48,92.99,91.37,90.3,89.76,94.07,96.5,97.57,97.04,97.3,94.88,97.3,97.04,96.77,96.23,97.57,97.3,95.69,97.57,94.88,91.91,83.56,70.35,54.72,61.73,39.89,21.83,7.28,9.97,9.43,33.69,10.24,7.01,8.63,7.55,6.2,18.06,19.41,16.98,20.75,15.63,8.36,12.13,16.98,22.37,33.96,39.35,47.71,54.72,50.4,44.47,42.86,54.18,43.13,32.61,49.6,30.73,23.72,21.56,23.99,33.42,41.51,48.25,47.17,44.2,39.62,35.85,34.23,41.51,47.17,53.64,49.87,51.75,56.6,60.11,49.87,60.65,59.03,67.92,68.73,71.16,77.63,69.0,79.78,80.59,83.83,85.98,81.4,79.25,77.36,76.55,78.17,78.98,80.05,83.56,77.9,81.4,83.29,81.94,81.4,84.1,84.1,88.41,79.78,82.75,80.05,82.21,81.94,88.41,90.3,89.49,91.11,92.72,85.18,88.41,88.41,80.59,84.64,83.56,83.29,91.64,94.07,94.61,93.8,93.53,91.37,89.22,92.72,92.45
BK0505,中字头,76.28,80.86,81.67,79.51,76.82,73.32,72.51,69.27,73.32,64.15,64.69,33.96,56.06,57.68,68.19,63.88,68.46,76.01,71.7,64.69,54.99,43.94,32.08,16.44,18.06,30.19,42.32,38.27,32.88,30.46,29.65,36.39,38.27,37.2,37.47,31.54,28.03,42.86,56.87,59.3,61.73,56.6,45.82,54.45,68.46,76.01,71.7,71.16,69.0,68.46,73.85,72.24,60.92,55.8,33.69,19.14,25.61,14.56,10.78,9.43,9.43,10.51,22.1,22.1,13.48,12.4,12.13,14.56,15.63,17.52,19.95,19.41,25.07,13.75,21.02,28.03,29.11,30.46,29.11,33.96,28.57,31.27,25.07,20.49,22.64,17.79,26.42,34.5,42.86,36.93,23.18,31.54,35.85,47.17,44.2,47.71,36.66,35.58,40.16,36.12,40.97,50.67,53.37,55.26,49.06,56.06,47.71,46.63,44.47,57.41,70.62,64.96,57.95,45.28,50.4,59.3,74.12,78.17,79.51,80.59,92.99,91.37,88.41,89.49,91.37,91.91,94.34,94.61,94.34,90.57
BK0578,稀土永磁,76.01,95.69,97.04,97.84,90.57,88.14,77.09,83.56,59.3,17.79,23.72,35.31,53.37,10.24,12.94,1.35,0.54,1.35,1.35,12.67,11.05,2.43,1.62,0.27,0.81,1.89,2.96,6.2,12.13,43.4,57.68,58.49,43.67,36.93,24.8,42.59,52.29,79.25,83.83,86.25,71.7,68.46,63.61,67.12,71.43,73.05,82.75,59.84,50.67,57.41,48.79,53.37,49.87,69.27,84.91,82.75,85.18,75.47,59.57,27.22,44.74,42.86,59.84,52.83,37.47,20.49,25.07,45.55,49.87,58.49,61.73,64.42,65.5,60.38,51.75,57.68,33.96,64.42,76.82,85.18,92.99,92.99,98.11,97.3,97.57,97.04,97.57,96.77,96.5,96.5,97.3,98.11,97.84,98.11,97.04,97.84,98.38,97.84,97.04,96.23,95.96,94.88,94.34,95.15,96.77,97.57,95.69,96.5,95.42,94.34,89.22,83.83,81.67,81.13,87.06,89.49,84.37,79.78,88.95,94.61,78.71,83.83,51.21,59.3,64.69,51.48,48.52,51.75,76.01,85.98
BK0738,多元金融,75.74,80.32,77.09,80.86,85.18,84.37,80.32,74.39,69.54,73.58,71.43,45.28,55.8,57.41,75.74,76.55,65.5,29.38,11.59,14.56,30.73,36.39,53.91,22.91,10.51,10.51,31.54,23.45,15.36,10.51,5.39,3.77,4.31,6.47,3.5,3.23,0.81,1.35,2.7,2.43,1.35,1.08,1.08,6.74,4.58,4.58,4.31,9.16,5.66,4.58,16.98,26.42,19.14,32.35,27.22,18.6,36.12,54.18,51.21,53.37,62.26,73.32,54.18,32.61,43.67,54.72,50.67,39.89,44.74,52.02,33.96,43.67,72.24,45.55,60.38,66.04,58.49,53.64,45.01,53.1,32.35,28.03,39.89,30.19,28.03,16.17,31.81,26.95,22.64,12.67,11.32,7.82,7.82,18.33,16.44,13.21,18.6,14.56,11.86,10.24,11.05,14.29,13.21,11.59,15.09,18.06,10.24,10.78,19.95,32.61,59.57,36.39,23.18,19.14,24.53,18.06,35.85,41.51,52.02,55.8,79.51,74.39,80.86,78.44,80.32,82.21,84.64,87.87,83.83,80.05
BK0471,化纤行业,75.47,70.08,82.75,76.82,54.72,54.99,52.83,27.22,4.85,2.96,3.77,4.58,3.23,1.08,7.01,7.28,9.16,8.63,8.09,46.09,55.26,42.32,18.87,7.01,21.02,31.54,27.49,44.2,63.07,89.22,92.45,92.18,93.53,90.03,89.49,90.57,89.49,90.57,95.69,92.18,88.95,88.68,90.57,91.11,86.79,85.98,77.9,74.12,68.46,56.6,72.51,77.36,73.05,60.92,31.54,57.41,66.04,31.54,13.48,16.98,21.29,50.4,37.47,50.4,46.09,42.05,45.55,54.18,43.67,49.33,35.58,38.27,65.77,66.31,84.91,62.26,49.6,62.26,60.92,63.88,74.93,46.36,66.58,66.31,78.71,86.79,91.64,92.99,93.8,88.68,90.84,89.49,76.82,75.47,58.22,61.99,66.58,61.19,67.39,60.92,60.38,49.33,37.74,49.06,47.17,41.24,33.69,42.59,40.16,56.87,44.74,15.9,35.04,31.27,49.33,59.84,56.6,68.73,63.07,64.42,70.08,86.52,88.68,81.13,85.18,84.37,84.37,67.65,81.94,85.18
BK0594,长江三角,75.2,72.51,73.05,72.78,71.97,73.05,76.01,78.17,77.09,75.74,74.39,70.35,70.62,71.16,72.51,69.0,70.89,70.89,63.34,52.56,50.67,54.72,49.06,40.16,42.59,52.56,52.02,43.13,46.63,49.33,46.09,47.98,54.18,52.56,56.87,58.22,60.65,65.77,63.34,64.42,71.97,71.16,72.51,70.08,64.96,58.22,56.06,54.72,60.11,58.49,57.95,57.68,51.48,54.45,45.01,37.47,40.7,48.79,40.43,42.32,44.2,44.74,39.08,40.43,43.13,42.59,42.59,46.63,42.32,38.54,39.08,43.4,40.43,38.81,38.27,39.62,39.35,35.04,40.16,39.35,37.47,38.81,46.36,46.63,44.47,48.52,54.45,55.26,57.68,60.11,60.11,54.99,53.64,56.6,52.02,55.26,49.33,48.52,46.36,42.32,41.51,42.32,40.7,43.4,42.86,43.13,43.4,40.43,42.86,39.62,41.51,40.16,42.05,39.08,45.28,46.09,55.53,58.49,63.61,62.8,64.69,66.04,66.04,66.85,68.19,70.89,71.43,72.24,74.12,74.93
BK0847,影视概念,74.93,76.82,70.08,63.88,74.93,70.08,69.0,71.16,76.82,81.94,80.32,80.32,70.35,57.95,48.52,58.49,66.04,56.06,61.46,40.97,52.29,70.08,77.36,69.54,64.42,72.24,84.91,74.93,85.44,78.71,74.12,73.58,80.86,85.18,88.68,84.91,85.98,81.13,83.29,80.32,84.37,82.75,81.67,81.94,73.32,71.43,57.14,67.39,61.46,65.23,63.61,65.5,69.81,60.11,51.75,57.68,45.55,50.67,32.61,35.04,39.89,33.69,32.61,28.3,42.32,38.01,33.69,35.04,31.27,25.34,22.64,18.33,11.32,11.05,14.02,12.4,11.86,18.06,19.14,20.22,12.4,13.48,16.98,18.6,19.68,23.45,25.07,21.56,23.18,29.11,27.76,40.43,35.31,29.92,32.08,36.39,28.57,22.37,20.22,17.25,14.29,13.48,10.51,8.89,6.47,7.55,9.16,6.47,6.2,7.55,7.55,5.39,7.28,9.43,8.09,14.29,25.61,35.31,37.47,39.62,56.33,57.14,61.73,61.46,61.99,77.9,69.81,74.12,73.05,65.23
BK0697,IPO受益,74.66,74.39,74.66,74.93,73.58,71.97,78.98,79.25,80.32,83.02,90.03,86.52,89.22,90.03,92.18,85.98,87.33,82.21,78.71,68.73,71.7,71.43,66.31,57.95,60.92,59.3,49.87,41.78,43.94,30.19,22.37,29.65,21.83,23.45,27.22,42.32,50.67,60.65,61.19,60.92,69.0,70.08,65.5,61.99,53.1,63.34,65.77,74.39,77.9,77.63,80.59,81.94,84.37,87.6,79.51,70.35,74.93,75.74,66.58,50.94,45.28,38.01,38.81,43.13,41.78,35.85,33.15,33.96,32.08,36.12,35.04,35.04,33.96,25.88,25.07,26.15,16.17,17.52,22.1,24.8,25.88,28.57,33.69,29.92,35.04,42.59,48.79,48.52,46.9,37.74,30.73,28.84,26.42,29.11,28.03,28.57,23.99,23.45,23.72,23.99,20.75,25.61,23.99,23.18,25.88,28.84,25.61,26.95,27.22,27.49,32.88,25.61,24.26,26.15,34.23,36.66,53.91,57.41,53.37,56.06,67.65,66.58,71.43,74.39,71.43,74.66,75.74,77.63,76.28,71.97
BK0883,数字货币,74.39,81.94,76.82,68.73,68.19,66.31,27.22,39.89,40.7,90.84,80.05,97.57,94.34,93.26,84.91,93.53,93.26,95.69,95.42,96.23,97.04,94.88,98.11,98.92,98.38,98.65,99.73,99.19,98.92,95.96,96.5,66.85,75.47,84.64,71.16,59.3,71.43,73.85,87.06,95.96,96.5,95.96,89.76,83.83,82.21,87.6,52.83,46.09,74.39,76.55,44.47,67.92,72.78,36.39,88.41,85.98,64.96,44.74,9.16,2.16,8.36,8.89,45.82,55.26,72.24,63.61,74.66,84.37,81.13,69.81,69.81,60.11,53.64,63.34,61.99,67.39,77.63,77.63,86.79,82.48,70.08,80.86,47.71,56.87,48.52,46.9,26.68,15.36,14.56,25.07,40.43,63.61,50.94,39.35,48.79,25.34,44.47,39.35,34.5,28.84,36.12,16.71,30.19,15.9,13.48,15.36,39.89,27.49,22.1,18.87,37.2,38.01,58.49,70.35,56.87,58.22,40.43,34.23,35.85,41.24,47.17,49.87,54.99,54.45,51.48,53.64,38.81,54.99,44.47,59.3
BK0709,赛马概念,74.12,69.27,67.65,75.74,75.47,77.36,72.78,82.48,83.02,90.3,88.14,77.63,83.83,85.18,86.25,93.26,88.68,87.6,85.71,81.67,84.64,92.45,96.23,87.06,83.29,81.13,85.18,62.26,55.26,22.91,24.8,9.7,11.59,26.95,24.26,20.49,42.86,71.16,86.79,85.98,84.91,73.32,30.73,43.4,43.4,64.96,50.94,72.78,74.93,80.32,81.67,84.64,87.06,90.03,70.89,57.14,37.2,33.42,9.7,2.43,7.82,12.67,17.25,44.47,36.39,19.41,17.79,9.43,9.97,13.75,12.94,16.44,14.02,2.96,4.85,3.77,2.7,1.35,3.23,6.2,2.16,1.89,1.89,0.54,1.35,1.35,2.16,3.5,1.35,1.62,1.08,1.35,4.58,8.36,16.98,15.36,13.75,11.32,7.28,8.63,16.44,15.63,12.67,9.43,8.36,17.79,18.6,23.45,38.54,32.88,43.94,47.44,37.2,33.96,21.56,26.42,50.67,69.81,73.85,75.74,73.32,77.09,87.6,84.91,86.52,87.33,90.84,90.03,90.3,90.84
BK0538,化工行业,73.85,78.17,80.05,77.09,67.39,68.73,75.74,73.05,61.99,36.66,31.81,37.74,50.4,40.97,50.4,34.77,43.4,50.67,53.64,64.42,67.39,64.69,54.99,41.24,47.98,32.88,12.94,28.03,31.81,58.22,65.5,71.16,73.58,67.39,70.35,71.97,76.28,80.32,79.78,78.44,71.43,75.2,77.09,73.05,75.2,78.44,81.4,78.17,76.55,76.82,73.32,75.47,79.78,85.71,86.25,86.79,87.33,83.56,83.02,79.78,83.83,81.67,74.66,79.51,70.08,65.77,66.31,66.58,64.42,63.61,68.19,63.61,67.92,67.39,71.7,71.7,66.31,66.31,66.04,68.46,78.71,76.28,83.83,85.98,88.68,91.91,93.26,92.45,92.99,92.45,92.99,92.45,91.37,90.84,88.14,89.22,88.41,86.79,85.98,86.52,84.1,83.29,81.94,84.91,81.4,78.71,81.13,83.83,85.18,85.98,85.98,82.21,87.6,86.79,89.49,90.57,89.22,91.64,90.84,91.64,84.91,87.06,77.9,74.12,82.75,81.4,76.01,75.2,84.37,91.11
BK0637,互联金融,73.58,77.63,74.39,73.32,71.7,68.19,60.92,49.33,60.38,75.2,69.81,84.37,77.63,58.49,46.63,50.13,46.09,38.81,36.93,28.57,33.15,45.55,60.11,61.99,56.6,61.19,68.19,66.04,60.11,43.13,33.42,16.71,19.95,29.65,37.2,38.54,32.35,33.15,47.71,57.68,63.07,60.92,53.1,66.31,60.11,66.31,49.06,55.8,60.92,70.62,78.44,80.32,85.44,88.41,88.68,79.25,81.94,82.21,69.27,59.84,67.65,66.58,65.77,56.6,56.06,59.84,64.15,57.41,58.22,50.4,38.01,39.62,47.98,38.27,43.94,50.67,46.09,45.55,40.43,42.05,29.65,35.04,24.8,30.46,31.0,24.8,32.08,32.08,31.81,30.46,32.08,35.85,28.57,31.54,29.65,27.76,30.46,26.95,28.3,22.64,20.49,17.25,22.37,19.95,24.8,30.19,23.18,22.91,24.26,31.81,53.64,41.78,43.67,41.78,47.44,37.47,47.44,54.72,46.63,50.94,70.89,73.32,76.82,71.97,67.65,70.35,67.39,74.39,71.7,65.5
BK0927,免税概念,73.32,77.36,69.81,80.32,83.02,86.79,88.68,86.79,91.11,92.99,88.68,88.95,92.72,88.41,85.44,82.75,81.94,89.76,92.72,82.48,73.85,84.91,81.13,19.41,52.02,37.47,45.01,43.94,39.08,41.51,40.16,20.75,9.16,16.17,25.34,28.3,53.91,29.65,43.13,44.2,46.63,29.92,27.49,40.7,11.32,21.02,18.06,23.72,23.99,19.14,37.74,62.53,70.89,75.47,39.89,32.88,17.79,46.36,35.85,26.68,26.42,26.15,22.37,18.6,22.64,16.71,12.94,13.48,7.28,4.04,5.12,4.31,3.77,2.43,6.47,5.12,3.5,2.43,4.31,5.93,4.04,4.58,6.47,8.63,12.94,6.74,11.59,14.29,28.3,25.61,19.95,22.1,25.07,28.03,19.41,21.83,18.87,11.59,8.36,7.01,7.01,12.67,12.13,10.24,10.24,18.87,17.25,14.02,8.63,15.63,18.33,11.32,13.75,10.78,14.29,27.76,53.1,60.92,69.0,70.08,84.1,73.58,78.17,77.36,77.63,74.39,74.66,79.78,72.78,64.15
BK0581,智能电网,73.05,75.47,81.94,79.78,88.41,88.95,89.76,90.03,91.64,91.64,91.11,90.57,90.3,85.44,57.41,64.15,70.08,61.46,69.0,78.44,66.31,54.99,37.47,34.77,9.43,9.7,13.48,15.36,6.47,6.2,6.2,8.89,7.82,9.97,15.63,15.63,13.75,14.02,13.48,14.02,23.18,23.99,26.15,36.12,28.03,35.31,33.42,45.01,51.21,73.58,70.08,67.65,70.62,81.13,80.86,80.59,88.95,87.6,85.98,85.44,87.06,89.22,87.87,89.49,90.03,89.76,85.71,80.32,79.78,78.44,79.51,85.71,84.91,83.56,86.52,85.71,80.86,85.44,83.02,84.64,80.05,81.13,79.25,78.17,80.32,78.98,76.82,77.36,75.2,77.9,81.94,77.36,79.25,84.64,80.59,79.25,81.13,83.83,84.37,86.79,88.41,89.22,90.3,89.49,90.03,92.45,93.53,93.8,94.61,93.26,93.26,94.61,94.07,90.57,86.52,87.33,81.13,63.61,70.35,69.81,46.36,64.15,61.99,63.61,56.87,34.23,28.03,39.35,42.59,47.71
BK0429,交运设备,72.78,73.05,66.04,62.26,61.73,65.5,71.97,75.74,75.74,73.05,73.85,68.46,51.21,46.09,43.94,38.81,26.95,20.49,11.05,22.1,21.29,23.72,33.96,18.6,18.33,11.32,12.4,23.18,31.27,26.42,17.25,23.72,16.98,14.29,11.32,11.05,12.13,11.86,14.82,9.7,7.28,6.74,6.2,4.04,2.96,2.96,3.23,2.7,2.96,2.43,2.96,2.16,1.62,2.43,2.96,9.7,29.38,28.3,23.99,31.27,27.49,24.53,31.0,38.27,46.63,52.56,53.91,60.38,59.3,61.99,59.57,67.39,58.76,58.76,58.76,51.21,32.88,33.42,48.25,48.25,49.33,50.4,49.06,51.48,49.06,41.51,29.65,16.98,14.82,14.02,15.63,14.29,30.19,37.47,37.74,28.84,32.88,39.08,44.74,45.82,44.2,42.05,46.36,44.47,56.33,60.65,65.5,66.31,70.89,71.97,77.09,74.66,67.65,74.66,73.32,76.82,78.71,76.55,57.68,57.41,66.31,71.16,65.77,75.74,60.92,50.13,51.75,43.13,42.86,39.08
BK0946,EDA概念,72.51,71.43,76.28,51.48,50.67,54.45,48.52,40.7,39.35,32.35,10.78,6.2,1.08,3.23,5.39,8.63,25.88,68.73,76.01,81.94,77.9,39.08,19.95,53.1,61.46,57.41,48.79,35.85,47.98,39.89,46.9,37.2,62.8,44.2,47.17,66.04,66.04,33.42,43.67,47.17,70.89,61.99,81.4,80.86,80.32,74.66,77.63,79.25,74.66,83.83,76.01,79.78,77.63,59.03,63.88,63.07,29.11,46.9,33.42,56.06,46.09,62.26,55.26,39.62,46.36,60.65,79.78,92.45,95.96,96.23,95.69,95.15,93.26,95.42,90.03,88.41,90.3,84.1,89.49,95.42,94.34,90.57,90.03,90.3,85.98,80.86,67.39,67.39,16.17,11.59,17.79,39.08,64.69,67.12,79.78,74.39,79.25,78.17,77.36,47.98,55.26,61.99,63.34,63.88,73.58,72.78,69.54,53.1,60.65,44.2,36.12,22.1,39.89,35.85,31.27,41.78,38.27,26.42,27.22,49.06,43.4,31.27,26.68,28.3,26.95,28.3,29.65,44.2,35.31,41.24
BK0682,燃料电池,72.24,77.9,85.44,83.83,81.67,81.94,80.59,81.13,80.05,69.81,66.85,65.23,68.19,56.33,51.21,44.2,37.47,18.06,55.26,59.3,50.94,70.89,41.78,17.25,21.56,22.64,35.31,58.76,52.83,64.69,66.85,80.59,78.17,74.12,79.25,78.71,81.4,86.79,71.16,75.74,66.04,53.64,57.41,72.51,69.0,67.65,72.78,39.62,44.2,60.11,53.37,49.06,48.25,75.2,74.12,71.16,75.74,73.32,80.59,66.04,74.66,73.05,68.19,72.24,69.81,66.31,61.99,67.65,65.77,70.08,73.58,76.01,81.67,76.82,77.36,78.98,67.92,68.46,68.46,74.66,82.75,83.56,88.95,87.06,90.03,89.49,90.57,89.76,88.95,89.22,90.03,88.41,89.49,88.41,85.44,87.87,87.6,87.06,89.22,88.95,89.49,88.68,90.57,90.03,89.49,94.34,95.15,96.23,97.04,96.77,97.57,96.23,95.96,96.23,96.77,96.23,94.88,95.15,94.34,92.72,80.86,82.48,63.61,66.31,69.0,45.28,44.74,27.22,26.42,26.15
BK0922,数据中心,71.97,77.09,73.32,70.62,73.85,77.09,64.96,63.88,64.15,73.85,68.46,70.62,57.95,46.36,36.93,40.97,35.04,33.15,36.66,32.88,46.9,32.88,45.01,55.26,45.01,36.66,59.84,50.94,53.1,35.31,33.96,28.57,28.57,21.02,21.29,19.41,16.98,13.75,15.09,17.79,19.68,18.87,16.44,22.64,11.59,11.32,7.28,7.82,8.09,14.29,8.89,13.21,17.79,28.03,43.4,40.7,53.91,57.14,47.71,54.99,60.65,59.57,75.2,76.55,77.9,80.05,81.4,78.44,76.28,72.78,73.32,74.93,69.0,67.12,65.77,68.19,62.26,66.85,70.35,70.89,64.42,66.31,49.33,57.14,63.88,58.22,56.87,57.95,58.22,60.65,63.07,63.34,65.77,66.58,69.27,63.88,70.08,71.43,70.08,70.62,72.51,70.08,71.97,71.7,70.89,72.24,74.12,71.97,69.0,66.58,65.5,68.19,70.08,73.58,65.23,66.58,56.33,42.05,51.48,44.2,38.27,43.94,45.55,38.54,33.96,31.27,26.95,27.49,32.88,46.63
BK0717,北京冬奥,71.7,78.44,73.58,71.97,76.55,78.98,78.17,78.44,79.25,84.64,88.41,88.14,87.06,86.52,81.4,84.64,82.75,89.49,90.3,88.68,91.91,92.18,91.91,81.94,75.47,73.58,75.47,72.51,73.58,67.12,45.01,44.74,27.22,26.68,36.12,30.19,29.38,28.3,38.27,37.47,36.93,25.34,18.33,23.99,19.68,35.85,31.27,37.2,45.55,57.95,52.29,61.46,68.19,61.99,49.06,43.4,68.19,78.71,47.44,42.05,34.77,41.24,36.12,42.86,39.89,36.66,27.22,27.22,25.61,25.88,32.61,25.88,24.53,19.41,20.22,15.63,8.89,8.09,18.06,22.64,26.42,26.95,32.35,35.58,43.4,32.61,50.13,49.06,52.29,46.36,37.2,37.47,37.2,38.81,34.5,34.23,26.95,23.99,19.68,18.06,19.14,21.83,22.1,19.14,14.82,28.03,22.1,19.68,24.8,24.8,32.61,32.88,30.19,35.04,42.32,49.87,60.65,69.54,67.39,57.95,62.26,60.11,72.78,70.62,67.39,63.07,63.07,65.5,59.57,55.8
BK0545,机械行业,71.43,76.28,80.32,77.9,76.28,80.59,83.29,85.18,87.33,84.37,85.98,84.64,82.75,77.63,76.28,64.69,56.33,53.37,69.27,76.28,80.86,76.82,70.89,62.8,56.33,57.95,55.53,53.1,52.02,59.03,47.44,64.96,53.1,47.44,47.71,43.67,50.4,63.34,48.52,40.97,38.01,37.2,38.54,42.05,40.43,40.16,32.61,31.27,31.27,26.95,22.1,23.72,23.45,23.99,22.37,24.8,26.68,23.18,25.07,31.0,30.19,35.85,35.04,32.35,38.54,39.89,39.08,41.51,46.9,48.79,49.87,47.98,46.36,50.4,54.45,57.95,57.41,57.95,59.3,61.19,63.34,63.61,73.05,69.54,71.43,68.46,72.51,70.35,68.46,63.61,67.92,68.46,69.27,70.89,69.54,69.0,67.92,67.39,73.05,75.74,75.47,78.44,77.36,81.94,80.59,80.59,78.44,82.48,87.06,89.22,91.64,91.11,94.34,95.96,96.5,94.34,95.96,94.88,92.18,87.87,89.22,84.91,83.02,85.44,83.56,71.43,74.93,71.43,67.65,77.09
BK0592,铁路基建,71.16,74.66,72.24,70.89,72.78,72.78,73.85,77.63,76.55,77.63,77.36,73.58,73.85,77.36,73.85,77.36,74.12,77.63,75.74,77.9,84.1,80.59,81.94,78.17,68.46,71.43,66.31,60.65,61.99,56.87,54.18,55.53,55.26,46.36,42.32,27.76,30.73,32.08,36.39,31.0,21.29,16.98,14.02,10.24,10.24,9.97,10.24,9.43,9.43,7.82,6.47,7.01,5.12,5.12,10.24,10.51,14.02,12.94,11.32,14.02,18.33,17.52,24.26,27.76,38.01,42.86,42.86,40.97,42.05,39.62,40.16,39.35,42.86,43.94,49.6,50.4,47.71,52.02,53.37,58.22,53.91,57.41,62.53,57.95,51.48,45.28,53.64,58.76,60.65,62.53,63.61,63.88,62.26,65.23,62.26,64.15,61.19,63.88,65.77,61.46,63.07,65.23,65.77,73.58,72.78,74.39,73.05,74.66,77.36,81.4,85.44,84.91,85.18,85.98,80.86,80.32,84.64,84.91,83.56,83.83,91.37,91.11,91.37,90.03,86.25,77.36,78.17,77.36,75.74,77.36
