,NAME,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15
BK0969,汽车芯片,63.07,59.03,84.37,89.49,86.52,85.18,93.26,95.15,96.5,95.15,97.84,97.57,97.3,96.77,97.57,97.04,97.3,97.04,96.77,96.5,95.96,93.8,94.88,93.8,92.18,93.53,93.26,93.53,89.76,88.95,88.95,84.91,88.14,89.49,89.22,89.22,89.22,91.64,92.99,91.64,92.18,93.53,95.15,94.34,94.61,94.34,93.26,92.45,87.33,87.33,86.79,82.48,85.18,83.29,80.59,83.02,80.05,78.44,78.17,75.47,75.47,77.36,74.66,67.39,70.35,61.99,60.11,65.5,59.3,55.8,30.19,38.27,22.64,19.68,11.59,9.43,13.21,11.05,13.21,5.93,12.94,15.9,9.7,16.17,8.89,2.96,1.89,1.35,7.01,30.73
BK0536,基金重仓,62.8,60.11,85.18,88.14,75.47,74.39,75.74,87.87,90.3,74.66,73.05,84.1,81.13,85.44,87.06,81.67,77.36,74.93,66.31,74.39,72.78,58.22,59.03,61.19,65.5,70.89,71.97,71.97,67.92,69.0,79.51,71.97,69.54,68.73,73.32,67.39,63.34,56.6,47.17,57.68,57.14,55.26,64.42,66.31,71.7,73.05,71.43,67.92,61.46,60.92,57.41,52.83,51.21,48.79,40.97,50.13,44.47,44.2,46.9,47.71,40.16,43.13,38.81,36.12,35.04,31.81,25.07,31.27,30.19,30.19,26.15,28.84,24.8,25.34,23.18,19.95,20.75,20.22,18.87,18.33,18.33,27.22,29.38,36.39,19.68,12.4,10.78,10.51,14.29,22.1
BK0910,专用设备,62.53,54.45,58.22,66.04,60.65,60.11,56.06,54.45,59.3,56.06,56.33,53.1,59.3,61.99,64.69,68.73,64.96,66.04,71.7,70.62,69.54,71.16,74.66,74.12,79.51,81.13,81.4,82.75,83.83,84.64,83.56,79.51,78.17,79.51,81.94,83.83,83.56,83.83,84.37,85.98,86.25,85.71,87.06,87.6,88.14,90.3,88.68,90.57,90.3,87.87,88.14,87.6,88.41,87.6,87.87,88.14,87.06,90.03,88.14,88.95,87.6,88.14,87.87,87.06,88.14,88.14,87.6,87.87,86.52,85.71,83.02,83.29,80.59,83.02,82.75,83.02,83.02,80.05,77.36,78.44,78.71,77.63,76.28,77.63,74.12,70.89,70.62,73.58,78.17,79.51
BK0900,新能源车,62.26,55.8,64.15,66.85,64.69,62.53,59.84,59.84,66.31,57.41,58.22,66.58,66.85,71.97,77.63,80.32,77.9,78.71,78.98,79.25,78.17,81.13,82.48,83.29,85.18,84.37,85.18,85.98,85.71,83.83,83.83,78.71,77.09,79.25,81.4,81.4,82.48,82.48,81.13,83.29,83.29,83.02,82.75,82.48,84.37,84.64,86.25,85.18,85.18,86.25,85.18,85.18,84.91,84.37,84.37,84.37,83.83,83.29,83.83,84.37,83.56,84.1,83.83,83.83,82.48,84.1,83.56,83.02,83.83,82.75,81.94,81.4,80.32,82.21,80.32,79.25,80.05,76.82,76.28,76.01,77.63,74.12,71.7,75.2,72.24,70.08,63.34,67.39,74.39,76.82
BK0506,创投,61.99,64.96,59.03,59.57,64.42,63.61,57.95,56.06,54.18,57.95,55.8,57.68,51.75,52.02,49.06,49.33,50.67,51.48,51.48,48.79,51.48,55.26,55.26,57.68,58.22,57.95,57.41,57.14,59.3,58.49,58.22,60.38,56.87,57.68,57.95,59.57,61.19,59.57,58.22,61.46,59.3,59.84,57.95,58.49,57.68,58.22,56.87,55.8,57.41,58.22,57.68,57.68,57.68,57.41,57.95,59.3,59.03,56.6,59.57,59.3,60.38,58.76,58.76,60.11,58.49,57.41,61.19,60.92,61.73,63.34,63.88,61.99,66.04,66.31,68.46,68.73,67.65,68.73,68.46,69.27,65.5,63.07,64.69,63.07,65.77,64.69,66.58,62.8,61.46,60.65
BK0643,上海自贸,61.73,86.25,72.24,40.16,69.27,72.24,52.02,42.59,47.44,46.09,46.09,49.87,48.52,44.74,45.28,46.9,49.87,49.06,44.74,38.54,45.55,42.86,43.67,46.09,52.83,52.56,49.6,48.52,54.72,48.52,52.29,51.48,33.15,28.84,28.57,27.22,27.76,33.69,33.69,28.03,33.69,33.15,31.54,32.08,24.53,30.73,27.76,29.38,29.92,31.27,32.88,29.92,28.57,28.84,29.65,25.88,27.22,29.38,30.73,31.27,30.73,13.48,21.56,33.69,19.95,21.83,23.72,27.76,25.61,27.49,30.46,26.42,28.57,29.11,30.73,29.38,23.72,32.61,32.88,36.12,29.11,31.27,35.31,32.08,28.3,29.92,28.03,30.19,23.72,31.0
BK0695,小金属,61.46,77.63,79.78,78.17,73.58,63.07,58.22,50.94,57.41,47.44,53.37,61.19,56.06,75.2,81.67,81.94,81.4,81.4,78.17,81.94,80.32,86.52,89.22,90.3,91.37,91.37,95.96,95.69,95.42,94.07,95.96,95.15,95.69,95.96,96.23,95.69,97.3,97.04,95.96,95.96,95.15,94.07,91.64,81.94,90.3,87.87,94.07,95.42,94.07,91.64,94.07,95.42,93.26,94.34,94.61,93.8,94.61,93.53,93.8,95.69,96.5,96.77,96.77,96.5,96.5,96.5,96.23,96.77,97.04,96.77,97.04,97.57,96.77,97.04,97.04,96.77,97.04,96.5,97.04,97.04,95.69,93.8,93.8,92.72,90.3,90.84,88.68,88.68,91.64,93.53
BK0937,蚂蚁概念,61.19,58.49,62.26,65.23,70.89,73.58,81.67,85.71,81.67,87.06,86.79,86.52,84.1,76.01,73.58,58.76,64.15,59.84,60.92,59.03,61.99,59.84,60.92,67.39,62.8,61.73,57.14,53.91,52.02,54.99,53.91,51.75,44.74,39.35,34.77,37.47,35.58,31.27,36.12,30.46,32.61,36.12,33.15,32.61,31.27,28.03,23.45,21.29,23.99,24.53,26.68,26.15,25.07,18.33,19.68,21.02,22.37,23.18,21.56,21.29,22.1,21.29,18.06,16.98,14.82,14.82,10.78,9.16,9.16,8.36,7.28,7.82,7.82,10.51,10.51,11.05,9.16,12.67,13.48,13.21,16.17,17.79,16.44,13.48,17.52,17.52,16.44,12.67,9.97,11.32
BK0514,参股券商,60.92,67.12,61.73,46.09,42.59,45.82,35.31,32.61,30.46,34.5,32.08,30.73,30.46,28.03,28.3,25.61,28.84,29.38,28.84,26.68,28.3,28.84,30.73,32.08,28.3,26.15,25.88,25.07,25.34,25.88,26.68,29.11,26.15,24.8,25.34,23.99,26.95,28.03,23.99,21.83,21.02,18.6,20.75,19.41,12.94,15.09,16.71,14.82,14.29,16.98,15.9,17.79,15.63,17.79,19.14,16.98,19.95,18.6,20.49,20.49,20.49,19.14,19.14,22.91,24.8,28.57,30.46,31.0,33.42,32.61,39.08,38.81,41.51,38.54,40.16,39.62,36.66,41.51,41.78,43.4,37.2,42.86,47.71,46.9,47.98,50.94,53.91,53.64,48.25,44.2
BK0596,融资融券,60.65,60.92,60.65,60.11,52.56,49.06,47.71,49.06,50.67,48.25,49.87,49.06,47.44,47.71,49.6,49.6,51.75,53.1,48.79,49.6,53.91,50.4,49.87,48.52,52.29,53.1,54.72,53.37,51.48,53.64,54.72,53.91,52.29,53.1,52.83,51.75,52.02,52.56,51.48,51.21,52.56,51.75,53.64,53.37,53.91,55.53,55.26,55.26,51.75,50.4,52.02,49.87,52.29,52.56,49.6,50.94,50.13,50.13,50.4,50.94,51.75,50.94,50.13,52.02,52.29,53.37,53.91,54.45,56.06,55.53,56.06,56.06,56.6,57.14,55.53,56.6,55.8,55.26,54.99,55.26,55.26,56.33,57.41,56.6,52.29,51.21,51.48,52.29,50.94,52.29
BK0909,降解塑料,60.38,41.78,52.29,60.38,39.35,47.17,39.35,36.39,37.47,35.04,30.19,35.31,39.62,49.33,54.18,56.33,54.99,51.21,54.18,54.45,50.94,56.06,60.11,61.73,69.81,69.54,75.2,77.09,77.9,79.51,83.29,85.44,81.13,78.71,78.71,80.86,76.82,76.28,75.47,78.17,75.74,73.85,73.85,74.66,75.47,72.78,73.85,74.66,74.66,76.01,78.17,80.86,80.59,81.4,82.48,70.35,71.7,73.32,74.12,77.36,77.36,80.32,81.94,82.75,84.37,85.98,86.79,86.79,87.87,88.68,89.22,89.22,89.76,89.49,90.03,92.72,91.91,90.57,90.57,89.49,88.68,87.33,86.52,85.71,85.98,86.52,85.71,85.18,83.02,80.05
BK0866,人造肉,60.11,64.15,51.48,43.13,37.47,38.81,33.42,36.93,31.54,29.38,22.1,22.1,24.53,23.99,21.83,18.87,18.6,16.17,13.75,16.44,16.98,9.97,8.09,7.82,9.43,5.93,14.56,12.67,11.86,20.75,19.14,20.75,19.41,20.49,15.9,13.48,9.7,9.7,11.32,8.36,6.2,5.66,8.09,9.43,7.82,7.55,5.12,4.85,5.93,4.58,2.96,3.23,4.85,3.23,3.23,3.77,5.39,4.04,6.2,5.93,6.74,5.66,6.2,5.39,6.2,6.74,5.66,5.12,5.93,8.63,9.7,9.43,13.48,8.63,9.97,13.75,9.97,13.21,14.82,21.02,22.91,24.8,38.54,34.23,36.66,45.82,44.2,50.13,44.2,18.06
