,NAME,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15
BK0674,蓝宝石,49.06,49.87,67.92,77.63,74.66,73.32,77.63,76.55,86.25,81.94,90.57,91.91,92.45,92.72,93.53,94.61,94.61,94.61,93.53,94.34,92.18,90.57,93.53,93.53,95.42,95.42,94.61,94.07,93.8,92.72,92.18,91.11,91.91,91.37,92.18,92.72,94.07,93.8,94.34,95.69,95.42,94.34,95.69,95.96,95.69,95.69,94.88,95.69,95.69,95.96,95.69,95.15,95.69,95.15,93.8,95.15,94.34,94.88,94.61,94.07,94.88,94.07,93.53,92.45,93.26,91.91,90.03,90.84,88.68,89.49,86.52,87.06,83.29,84.37,82.48,76.55,76.55,75.47,77.63,79.51,83.56,83.02,81.13,82.75,80.05,76.82,78.71,86.52,89.76,92.45
BK0454,塑胶制品,48.79,37.74,34.23,31.27,29.11,29.65,31.81,31.81,35.04,29.11,28.03,29.11,32.35,37.2,37.74,34.77,33.15,36.12,41.24,43.13,46.09,46.36,46.36,42.59,55.26,53.64,56.6,56.6,48.25,49.06,51.75,47.44,42.05,43.13,52.29,55.8,52.29,50.4,49.33,50.4,51.75,52.83,55.8,56.33,56.33,56.87,57.41,57.14,52.83,53.37,50.94,57.14,56.06,55.26,54.72,48.79,47.44,49.87,48.52,56.06,57.68,58.22,58.49,61.19,54.72,57.68,56.87,56.87,57.41,57.95,57.41,53.37,53.91,52.56,57.41,67.39,66.31,62.8,53.37,50.94,41.24,42.59,41.24,43.13,35.04,34.77,31.54,31.0,38.27,36.12
BK0925,三板精选,48.52,53.64,58.76,58.76,56.06,66.58,60.11,54.72,50.94,51.21,50.67,47.98,45.55,39.35,33.15,40.7,41.78,44.47,45.55,46.36,44.47,50.13,56.33,57.14,60.38,60.38,64.42,58.22,52.83,54.18,59.3,68.19,67.39,68.19,65.5,66.85,65.5,66.04,61.46,56.33,59.57,59.03,67.65,71.97,69.27,68.19,71.16,74.12,72.24,74.12,74.39,75.74,78.98,79.51,81.13,81.94,82.48,80.86,82.75,83.02,83.02,83.02,84.1,86.79,87.06,85.18,91.64,94.34,94.61,93.8,94.07,94.34,94.07,93.8,92.99,93.26,93.26,94.07,93.53,94.07,94.34,94.07,94.88,95.69,95.42,95.96,96.23,97.57,98.11,96.5
BK0839,知识产权,48.25,40.97,37.47,42.86,62.26,59.57,71.16,68.73,54.99,58.76,62.8,63.34,55.53,40.43,29.11,12.13,14.29,18.33,25.61,24.26,18.87,18.06,23.99,25.34,24.53,25.61,24.26,28.3,23.18,15.9,8.36,9.97,7.55,7.55,8.89,13.75,8.63,11.86,21.29,20.22,28.03,28.57,21.83,23.45,23.99,14.56,18.87,16.98,22.91,26.15,29.11,25.88,23.45,13.48,15.36,18.06,17.52,19.68,19.95,19.14,19.95,22.91,26.42,23.18,22.1,21.56,17.79,19.14,23.45,26.68,20.22,16.17,21.56,19.95,23.45,26.68,24.53,30.73,31.27,30.19,33.15,31.81,24.8,23.99,28.57,26.42,24.26,16.17,22.64,24.8
BK0739,金属制品,47.98,49.6,50.13,53.1,48.25,54.45,52.56,48.25,48.52,40.16,45.82,39.89,42.59,48.52,51.48,60.92,55.26,55.26,54.72,57.14,60.38,64.42,67.12,60.92,65.23,65.23,67.65,68.46,65.23,61.73,66.31,67.92,65.23,64.69,67.12,69.54,71.7,73.32,71.43,75.2,71.97,69.27,65.5,64.42,64.96,66.04,67.12,68.19,69.54,70.08,69.54,70.62,71.97,72.24,72.51,73.58,74.12,77.09,77.36,78.17,77.09,77.63,78.17,78.44,77.63,78.44,78.98,79.78,80.32,79.25,78.44,77.09,76.28,77.36,77.9,78.71,79.78,79.51,76.55,76.28,75.47,75.74,73.58,75.74,71.7,74.39,76.55,79.25,81.13,83.02
BK0873,垃圾分类,47.71,57.41,43.67,32.61,33.96,29.92,18.06,17.52,5.93,7.28,7.28,5.12,4.58,11.59,12.67,18.33,15.63,14.02,18.87,15.09,16.71,19.41,17.79,12.67,21.83,23.72,27.22,25.61,30.46,31.54,32.88,36.12,33.96,33.69,35.31,36.66,33.96,41.24,39.35,35.85,35.58,41.78,41.78,43.94,43.4,45.55,47.44,43.13,46.9,49.06,46.09,47.17,50.67,53.64,54.99,51.48,51.21,52.02,56.6,57.41,56.06,52.29,54.45,62.53,59.03,61.73,64.42,61.99,62.53,62.8,67.39,65.77,68.73,66.85,70.08,65.77,66.58,72.24,75.47,78.17,77.36,78.44,78.44,77.9,78.71,72.78,66.31,61.73,56.6,49.33
BK0813,雄安新区,47.44,46.36,35.31,26.42,26.68,26.42,28.03,29.65,25.88,29.65,28.3,26.42,25.34,27.22,25.88,28.57,28.3,28.3,31.81,23.45,24.8,28.57,29.38,30.46,31.54,35.85,37.2,39.35,40.7,42.59,40.43,42.59,41.51,44.2,44.2,46.63,46.9,50.67,49.6,46.63,49.06,50.67,50.94,49.33,50.4,50.67,51.21,49.87,50.94,52.83,52.56,52.56,51.75,53.37,54.45,53.64,55.26,54.99,54.99,57.14,55.26,53.91,52.83,57.68,60.65,62.26,62.53,57.95,57.95,59.3,60.92,59.84,64.96,62.53,64.96,60.92,59.57,64.69,66.31,68.46,66.58,66.85,67.39,67.92,68.19,61.19,57.68,55.26,47.17,47.44
BK0509,网络游戏,47.17,46.63,40.97,39.08,52.02,56.06,63.61,63.34,55.53,56.87,54.72,54.72,56.6,46.36,39.08,31.0,32.08,34.5,43.13,38.81,37.47,36.93,38.54,38.27,36.66,33.15,33.42,32.35,33.96,33.69,29.65,33.15,30.19,31.81,32.35,33.15,31.81,29.65,32.35,23.45,30.19,29.65,24.26,22.1,14.29,10.78,11.32,10.24,15.09,14.29,14.82,14.02,13.48,13.21,14.56,17.52,17.79,17.25,16.44,16.17,19.14,18.33,19.41,16.17,16.71,15.09,15.09,13.75,18.06,29.92,23.18,21.83,26.68,26.68,30.46,36.12,32.35,33.96,32.35,34.23,29.38,25.61,23.99,24.26,30.73,39.08,37.74,35.85,29.38,29.38
BK0556,移动支付,46.9,44.2,38.27,54.18,58.22,60.65,73.85,77.63,75.47,76.28,84.64,83.83,85.44,69.0,68.19,48.52,50.94,61.19,66.58,66.85,64.42,61.73,61.73,67.92,66.31,71.16,63.61,62.53,66.85,67.65,60.38,59.3,66.31,66.58,68.46,71.7,71.97,69.81,76.55,71.7,72.24,73.05,69.27,66.58,64.42,62.53,62.53,62.26,62.53,61.46,64.15,62.26,61.46,58.49,60.38,60.65,60.65,58.76,57.95,53.1,55.53,52.83,53.91,50.13,50.13,47.98,44.74,43.4,39.08,40.97,36.12,35.85,31.81,40.43,39.35,39.08,39.89,35.31,36.12,37.2,34.5,33.15,30.73,27.76,31.27,33.96,32.88,23.99,22.1,27.22
BK0733,包装材料,46.63,49.33,47.71,36.12,33.69,32.08,26.42,29.11,33.96,31.0,30.46,28.3,30.73,28.57,35.58,42.86,39.35,35.31,45.28,40.43,38.01,43.94,39.89,40.16,49.6,44.74,42.59,48.25,45.01,41.78,40.97,39.89,36.93,35.04,40.16,44.47,41.24,42.05,40.7,41.24,42.86,44.47,41.51,49.87,50.67,53.64,55.8,52.56,51.21,55.26,59.3,60.11,63.07,64.42,65.23,65.5,67.39,67.12,67.12,68.19,69.81,70.35,71.43,74.66,74.66,76.28,80.05,77.9,80.05,78.17,82.21,82.21,84.1,84.91,84.37,84.91,84.1,83.29,81.94,80.86,79.51,78.71,78.98,78.71,80.86,83.02,83.83,83.83,84.91,83.83
BK0838,东北振兴,46.36,45.55,36.12,29.11,25.88,31.0,23.45,24.8,25.61,33.69,32.35,27.49,27.49,28.84,28.84,31.54,36.12,31.0,34.23,33.42,33.42,36.39,36.93,34.23,29.92,29.92,26.95,27.76,25.07,25.61,23.45,25.88,24.8,28.3,27.76,25.07,29.65,32.88,32.88,27.22,28.57,27.22,23.45,24.53,21.56,16.71,21.56,22.64,28.84,28.84,29.38,32.88,31.27,32.88,35.85,35.31,38.54,36.66,39.89,39.62,42.32,42.86,43.13,48.25,43.13,43.94,45.55,46.09,49.6,46.09,52.83,51.48,58.22,56.6,60.65,62.26,61.73,67.92,66.58,67.39,66.85,70.35,67.65,70.62,75.2,79.78,82.48,82.75,80.86,76.01
BK0938,代糖概念,46.09,50.4,39.89,51.48,34.77,22.37,24.53,15.9,14.56,6.2,3.77,4.04,9.43,16.71,12.4,10.78,5.12,4.31,5.12,5.39,8.09,5.93,4.31,3.77,4.04,3.23,2.96,4.04,4.31,5.39,6.47,8.89,7.28,4.04,4.31,3.23,2.7,3.23,3.77,7.28,9.43,8.63,6.2,7.82,7.28,4.31,7.55,8.09,4.58,4.31,7.01,11.05,10.78,6.2,3.5,4.85,7.01,7.01,9.16,9.43,11.05,14.02,15.63,10.51,9.7,11.32,13.21,28.3,42.05,43.67,48.52,52.56,46.63,39.35,50.4,59.84,64.15,56.87,48.25,57.14,49.6,45.55,43.4,51.75,43.4,52.02,53.1,46.9,55.8,35.58
BK0597,水利建设,45.82,48.52,33.15,26.68,28.84,27.76,19.95,20.49,17.25,21.83,19.41,15.36,8.63,17.79,15.36,19.68,15.9,13.21,12.94,7.82,7.01,9.16,10.24,12.4,19.14,20.22,18.6,22.37,22.91,23.72,20.75,23.18,20.22,23.99,29.11,25.88,36.12,45.55,42.86,42.32,44.47,47.17,46.36,46.63,46.63,49.6,51.75,50.94,49.6,54.45,53.37,53.37,48.52,54.18,56.33,55.53,56.33,56.06,53.64,58.22,58.22,57.95,60.11,64.15,65.77,67.12,69.54,67.12,69.27,72.24,75.47,77.36,80.05,76.82,77.09,76.28,77.36,80.59,81.13,81.4,79.78,80.05,82.48,81.94,84.1,83.29,83.56,82.21,79.25,77.63
BK0604,参股保险,45.55,40.7,37.74,25.88,25.07,30.46,30.19,27.76,26.42,24.26,22.91,23.99,23.45,22.64,20.49,19.41,19.95,18.87,21.29,20.75,22.37,23.45,22.37,21.83,19.41,18.6,19.95,17.52,20.75,19.95,18.33,19.14,17.52,17.79,16.71,18.06,17.79,21.56,20.22,20.49,20.75,19.41,22.37,23.72,21.29,18.87,21.02,18.06,21.02,22.37,23.72,23.99,22.64,20.49,21.83,21.29,22.1,22.64,22.1,23.18,23.72,25.61,25.07,27.22,30.73,29.11,31.0,32.35,33.69,36.12,40.7,42.05,46.36,43.13,44.74,46.9,44.2,49.06,47.98,52.56,45.28,49.06,54.45,52.83,55.26,57.14,56.87,58.49,46.36,45.28
BK0742,创业板综,45.28,38.27,38.54,49.33,53.64,52.02,60.65,64.96,64.69,62.26,63.61,63.61,64.15,66.04,67.12,68.19,64.69,67.39,70.89,72.24,71.7,74.39,73.85,73.58,75.74,76.55,77.09,76.55,78.44,78.44,76.01,74.39,73.32,73.58,74.66,76.28,74.66,73.85,73.58,76.55,77.09,78.44,78.44,80.59,79.78,78.44,76.82,76.55,77.36,77.63,76.82,75.47,76.28,76.28,76.01,74.66,72.51,74.39,72.78,73.05,72.24,71.16,70.62,69.81,67.12,67.65,66.04,66.58,65.5,63.88,60.38,59.57,54.99,58.49,58.49,61.46,64.96,60.11,59.57,57.68,59.3,55.26,49.33,53.37,50.4,46.9,46.36,46.36,44.74,48.25
BK0894,阿兹海默,45.01,46.9,35.58,24.26,32.61,39.08,30.46,23.72,23.45,19.95,9.7,4.31,7.28,12.67,13.21,11.05,11.86,17.52,29.11,28.57,35.04,33.69,22.1,22.1,18.6,7.28,7.28,15.09,15.09,19.14,21.29,21.83,28.84,19.95,19.14,17.52,9.16,9.97,13.21,10.51,4.58,6.74,10.51,14.29,12.67,8.89,4.85,3.77,4.04,4.85,5.93,8.09,7.55,5.66,7.28,8.09,8.09,9.43,7.28,7.01,7.01,7.82,7.55,8.89,5.39,5.66,7.01,8.63,7.55,8.89,15.09,11.05,12.4,14.29,16.17,16.71,20.49,21.29,16.17,14.02,11.05,13.48,16.71,17.79,22.37,33.69,36.66,43.94,36.93,23.72
BK0898,胎压监测,44.74,43.4,50.4,54.45,59.57,60.38,65.5,67.65,70.08,65.77,66.58,71.43,72.51,77.36,72.51,73.58,70.35,69.81,64.42,63.07,60.65,61.99,65.23,66.58,67.92,67.39,74.39,73.58,64.96,60.11,55.8,39.62,47.17,50.4,54.72,57.14,61.99,60.38,57.68,55.8,56.06,61.99,64.15,70.35,70.62,64.42,64.69,63.88,63.34,65.5,65.23,66.85,65.77,63.34,62.26,65.23,63.07,63.34,62.53,63.07,62.26,60.92,61.19,56.87,49.6,46.09,46.36,50.94,46.36,43.4,38.81,32.88,29.38,30.19,32.61,29.11,31.0,28.57,36.66,32.35,26.42,21.83,18.06,18.6,14.82,15.63,9.16,9.43,20.22,28.57
BK0422,交运物流,44.47,54.99,45.01,28.57,30.46,26.95,25.07,28.84,32.35,29.92,29.92,31.0,35.85,32.08,31.81,30.73,31.0,27.76,30.19,29.11,31.54,30.19,31.54,31.54,34.5,32.61,31.54,32.61,29.65,32.61,32.61,34.77,31.54,29.65,29.38,24.8,22.91,27.22,21.83,18.06,18.87,15.09,12.67,12.67,12.4,15.36,15.63,19.95,28.57,29.92,31.27,31.0,31.81,33.15,33.96,33.15,34.77,35.04,38.27,40.43,40.43,38.01,39.08,41.78,43.67,47.17,51.75,46.36,42.86,42.86,48.25,46.36,49.06,50.13,50.67,51.48,51.75,57.41,54.72,58.49,54.99,54.72,57.14,54.18,58.49,62.53,60.65,59.84,61.99,53.64
BK0803,股权转让,44.2,45.28,42.05,33.69,46.63,46.63,41.51,45.01,42.05,45.55,47.44,48.25,46.63,50.13,50.13,56.6,56.6,57.95,62.26,63.88,70.35,78.71,78.17,77.63,78.44,76.01,74.12,69.27,74.12,75.74,72.24,76.28,73.85,74.12,75.47,76.55,76.55,76.55,75.74,76.01,73.32,74.39,73.05,73.05,72.24,70.89,69.0,69.81,70.35,67.12,64.42,62.53,61.99,67.12,66.58,64.15,64.69,63.61,63.34,63.88,64.69,63.34,64.96,66.85,66.58,64.96,66.31,65.23,65.77,67.92,72.24,70.35,70.89,72.51,72.78,71.7,71.43,70.62,69.81,71.16,65.77,61.46,53.91,57.95,58.22,57.41,55.26,57.41,52.83,50.4
BK0959,数字阅读,43.94,36.93,30.73,24.53,25.61,23.99,31.54,26.95,28.3,23.45,25.88,26.95,26.95,19.14,15.63,13.21,15.36,21.56,16.44,16.98,15.63,9.43,7.82,6.74,7.01,6.2,5.66,5.39,11.32,5.12,5.93,4.31,5.12,5.66,4.58,5.39,6.47,6.47,10.24,14.56,17.79,28.3,22.64,29.38,26.15,19.41,22.1,22.91,23.18,16.71,26.95,24.53,23.99,29.92,23.45,32.08,25.07,28.84,28.3,30.73,31.54,31.81,32.88,27.49,29.38,32.08,32.35,28.84,30.46,35.04,36.39,33.42,39.08,36.93,31.81,25.34,20.22,20.75,26.42,25.88,24.53,20.22,22.1,22.64,25.34,36.12,40.43,58.22,42.05,48.52
BK0547,黄金概念,43.67,61.19,47.44,47.98,45.28,38.01,40.43,43.67,40.43,40.7,33.42,31.54,28.57,33.69,29.92,32.35,43.13,41.78,40.43,36.66,39.62,37.2,44.2,53.91,46.63,43.4,57.95,58.76,54.45,48.25,60.11,64.42,62.53,68.46,69.27,71.97,74.93,75.2,76.82,69.54,68.19,62.53,52.02,36.66,49.6,47.17,56.33,56.6,52.56,49.6,56.33,61.19,59.3,65.5,64.69,60.92,66.04,64.69,69.0,69.81,73.05,75.47,77.63,80.59,80.59,77.63,80.59,73.05,79.25,80.05,85.71,88.41,90.84,88.68,88.41,88.14,86.52,85.71,84.91,84.37,82.48,80.59,82.75,78.17,81.4,87.06,85.18,87.06,89.22,88.14
BK0879,标准普尔,43.4,51.48,52.02,43.67,34.5,34.77,32.61,32.08,33.15,31.54,31.54,32.35,31.27,31.54,32.88,33.42,35.04,32.61,32.61,32.88,32.88,31.0,32.61,33.96,32.61,34.23,35.58,36.39,36.39,35.04,40.16,39.35,39.08,38.27,36.66,38.01,40.7,37.74,35.58,36.39,35.04,36.93,36.12,35.04,37.2,39.62,41.24,41.78,39.08,39.89,40.43,40.7,40.97,42.59,40.43,40.16,39.89,38.54,39.35,41.24,42.59,43.4,43.4,48.52,49.87,51.48,54.72,54.18,57.14,59.03,61.19,63.34,66.31,63.88,62.8,63.07,60.92,63.88,62.53,63.34,62.26,64.96,67.92,67.39,66.04,68.46,69.54,69.0,67.92,68.19
BK0705,上证380,43.13,54.18,56.6,51.21,40.43,37.47,35.58,35.58,37.74,37.74,35.85,34.77,35.31,33.96,34.77,34.23,34.77,32.88,31.54,32.08,34.5,32.88,33.69,34.5,33.69,35.31,36.12,36.66,37.2,38.01,42.86,44.47,40.43,38.01,36.12,36.39,36.93,36.66,34.77,36.12,36.39,37.47,36.66,37.2,39.08,41.51,42.59,44.74,40.97,41.51,42.05,41.51,42.32,43.13,41.24,41.78,42.59,42.86,44.74,47.44,48.25,46.63,47.17,50.67,51.21,53.1,55.8,56.6,58.76,58.76,60.65,60.65,63.61,61.46,62.26,64.15,62.8,64.15,63.61,66.04,63.88,67.65,70.35,68.46,67.39,68.73,72.24,70.35,68.19,67.92
BK0701,中证500,42.86,51.21,53.64,43.94,37.2,36.66,38.01,38.81,40.7,41.51,39.35,38.01,36.12,35.31,36.93,35.31,39.08,35.58,33.96,34.5,35.31,34.23,35.31,35.85,33.96,36.12,36.39,38.27,37.47,36.93,42.59,45.01,42.32,40.16,39.35,39.08,41.78,40.16,40.16,43.94,40.43,39.89,36.39,36.12,38.01,40.7,42.86,42.86,39.35,40.97,41.24,41.24,41.78,43.4,41.51,41.24,42.32,39.62,40.7,43.94,46.36,47.71,47.71,51.75,51.75,54.45,56.06,55.26,59.03,60.11,63.07,65.23,67.39,67.65,67.39,67.92,65.5,67.12,67.12,69.54,68.19,70.08,72.24,71.16,69.0,71.97,74.12,70.62,69.27,69.81
BK0818,可燃冰,42.59,32.35,15.63,13.48,18.33,25.34,16.98,31.54,32.08,50.13,43.13,37.47,41.78,60.38,52.29,52.02,59.3,39.62,29.65,33.15,31.81,53.37,47.71,50.13,45.82,41.51,42.86,45.82,47.98,53.37,54.45,63.61,56.33,57.41,57.68,62.8,62.53,64.15,63.07,65.77,63.34,54.18,51.75,42.59,51.48,50.4,53.1,52.29,54.18,46.36,47.71,51.75,53.64,57.14,61.46,59.84,63.61,64.96,70.35,68.46,62.53,61.19,64.69,68.46,70.89,65.77,74.66,78.98,83.29,75.47,87.87,87.33,87.33,87.06,87.6,89.22,88.14,89.49,87.6,89.22,90.84,93.53,92.99,92.45,98.11,97.57,98.38,95.69,94.61,92.99
BK0478,有色金属,42.32,73.85,66.85,59.84,32.35,16.17,17.79,17.25,17.79,6.74,8.36,13.48,7.01,26.95,45.01,43.94,44.2,36.39,31.0,35.85,31.27,44.74,57.41,59.84,56.6,60.65,80.86,81.4,80.86,69.54,84.1,84.1,85.18,85.71,88.68,88.68,90.3,90.03,90.3,88.41,88.41,85.44,76.55,53.91,71.43,66.58,81.94,83.02,80.32,80.32,84.1,90.57,84.64,90.3,90.3,86.79,90.03,88.68,92.72,93.53,96.23,95.96,97.04,97.3,97.57,97.3,97.04,97.57,97.84,98.38,98.11,97.84,98.38,97.84,97.84,98.11,97.84,97.57,97.84,98.11,96.77,95.69,94.34,93.53,92.18,93.8,90.3,91.64,95.96,96.23
BK0976,被动元件,42.05,39.35,67.65,71.16,58.49,61.73,57.68,71.16,83.56,77.63,87.06,88.14,89.22,79.25,82.48,77.63,76.01,75.74,61.73,77.09,68.73,68.19,70.62,78.17,83.83,87.33,87.06,88.68,86.25,88.68,89.22,89.76,89.76,90.03,90.3,90.84,90.84,90.3,89.76,90.84,91.11,91.37,93.26,94.61,95.15,95.42,95.42,94.88,95.15,94.61,94.61,92.99,91.64,89.76,90.57,92.18,91.37,90.84,90.3,86.79,88.14,87.87,87.06,85.44,84.64,84.64,84.91,84.37,78.71,78.44,70.35,70.62,55.8,62.26,62.53,60.65,64.42,54.99,64.69,61.73,67.12,72.78,69.81,71.97,53.1,37.47,37.2,38.27,49.6,54.99
BK0949,氦气概念,41.78,68.73,75.2,81.13,23.18,20.75,16.17,23.45,19.95,25.07,45.55,55.53,38.01,15.9,30.19,42.59,34.23,42.05,44.47,54.99,55.8,53.1,11.59,5.93,18.33,11.05,21.83,37.74,39.62,35.85,37.2,21.29,43.67,59.57,46.9,59.84,64.96,71.16,69.54,70.35,75.47,84.64,88.41,90.03,86.79,86.79,86.52,88.68,87.87,94.34,91.91,93.53,97.84,97.84,97.84,96.77,96.77,96.5,95.96,96.77,94.61,96.23,96.23,93.26,92.72,92.72,92.99,92.99,92.45,92.45,92.18,90.84,89.22,91.64,89.49,90.57,88.95,86.52,88.95,87.87,86.79,88.68,89.76,89.49,88.41,87.33,87.87,87.33,88.41,88.41
BK0975,磁悬浮概念,41.51,52.83,49.6,47.44,43.94,42.86,44.2,42.32,34.77,38.27,40.16,39.35,40.43,46.63,49.33,63.07,55.8,54.45,59.03,58.22,61.19,79.51,83.83,79.78,85.71,82.75,81.13,82.21,81.67,82.75,85.98,85.18,84.1,88.41,86.79,85.18,85.18,86.52,86.25,88.95,87.6,89.49,89.76,89.76,90.84,89.22,91.11,88.41,87.6,90.57,88.68,86.79,85.71,84.91,84.91,83.56,82.75,82.75,82.21,81.4,82.75,85.98,86.79,89.22,90.84,91.11,90.84,91.37,91.37,88.95,88.95,87.6,87.87,88.95,88.14,87.06,87.87,87.6,88.14,88.14,87.6,84.1,80.05,82.21,80.59,81.4,81.94,83.02,86.52,85.18
BK0905,传感器,41.24,35.31,49.06,61.46,60.11,54.72,66.31,69.81,73.85,73.85,78.44,83.56,86.25,85.98,85.18,86.25,85.71,86.79,87.06,89.76,88.14,85.71,85.44,85.18,84.91,84.1,84.64,84.37,81.94,80.86,78.98,78.17,78.71,78.98,80.59,81.94,80.86,81.94,81.4,77.9,80.32,81.4,82.48,85.44,83.29,83.56,83.02,83.29,83.83,83.02,80.86,79.78,80.32,79.25,78.71,80.32,78.17,81.13,79.51,77.09,77.63,78.44,76.01,72.78,71.97,69.0,68.73,68.19,64.15,63.07,53.91,51.21,40.97,44.2,40.97,40.16,37.74,37.74,39.89,29.65,30.46,33.96,31.27,36.66,31.81,27.76,20.22,20.49,32.88,40.7
BK0640,智能机器,40.97,40.43,42.86,45.01,43.67,46.09,47.17,45.82,48.79,51.48,52.02,55.8,56.33,61.46,60.92,64.69,61.73,64.42,68.19,68.73,68.46,73.85,74.39,76.28,74.93,75.74,75.47,76.28,78.17,74.93,73.05,72.51,69.81,71.7,72.51,72.78,72.78,71.97,71.16,70.89,71.16,72.51,75.47,76.01,77.09,76.55,77.09,77.36,78.44,78.44,77.63,79.25,79.25,78.17,77.36,77.36,77.09,80.59,79.78,78.98,78.98,78.98,80.59,79.51,79.78,78.71,77.09,78.17,77.36,77.09,74.66,74.39,72.24,75.2,74.39,74.66,73.58,70.08,68.73,67.65,64.69,62.26,59.03,60.92,60.65,58.22,52.29,49.87,59.57,56.06
BK0600,新三板,40.7,49.06,46.9,31.54,38.81,45.28,43.94,44.2,40.16,41.24,43.67,45.01,45.01,43.94,42.32,44.47,47.17,46.36,42.86,40.97,38.81,38.01,39.35,41.78,42.59,42.32,47.44,46.9,44.74,41.24,42.32,45.55,42.86,42.59,45.28,44.2,43.4,40.97,38.54,39.62,40.16,41.51,43.4,44.2,45.01,43.94,45.82,42.59,42.32,44.2,43.67,42.32,43.94,44.47,42.32,41.51,44.2,43.67,41.78,42.05,45.28,41.51,41.78,45.01,42.59,42.86,46.9,48.79,52.29,49.6,51.48,49.33,50.13,49.87,53.1,53.91,54.99,54.45,56.87,57.95,56.87,57.41,59.57,58.22,59.3,57.68,51.21,48.25,47.44,47.17
BK0545,机械行业,40.43,46.09,43.4,39.62,38.54,42.05,34.77,33.15,33.42,32.61,32.61,33.42,33.69,38.27,33.69,36.66,32.61,33.69,38.27,39.35,39.89,45.28,41.51,38.54,42.05,45.28,48.25,49.33,47.71,46.36,46.36,43.67,40.97,45.01,46.09,47.98,49.6,57.14,54.72,57.41,57.68,60.11,62.26,63.88,64.69,67.65,66.85,69.0,69.27,71.43,69.0,69.27,71.16,71.7,73.85,71.97,74.39,79.78,81.4,81.13,82.21,82.48,83.29,83.56,85.44,84.91,85.71,85.98,85.71,84.64,85.18,84.91,84.37,85.71,85.71,85.98,85.71,85.18,83.83,83.02,83.02,81.67,83.29,83.83,85.71,83.83,83.29,85.71,87.33,85.44
BK0425,工程建设,40.16,33.96,23.18,14.82,14.56,13.21,11.86,14.56,7.82,16.71,9.43,13.75,9.7,14.56,15.09,20.49,22.91,21.83,16.17,6.2,6.74,8.63,8.63,8.89,16.98,11.32,15.09,18.33,22.37,24.26,25.61,27.49,25.07,28.57,30.73,32.35,39.08,40.43,36.93,36.93,38.54,42.59,39.89,43.67,40.7,44.74,44.74,45.01,44.2,46.09,44.47,42.59,45.55,53.1,58.22,52.29,54.18,51.48,53.1,58.49,58.49,56.87,58.22,63.07,67.65,73.32,73.58,71.43,73.85,71.43,75.2,76.55,77.63,75.47,76.01,74.12,71.7,72.51,74.12,74.39,68.73,66.31,71.16,69.54,67.65,64.15,62.26,63.07,58.76,54.45
BK0528,转债标的,39.89,40.16,39.08,32.88,31.27,32.35,35.85,34.77,35.31,32.35,34.77,34.5,34.23,35.58,39.62,45.01,42.05,43.13,42.59,42.05,42.32,45.55,45.55,47.44,53.1,54.18,56.87,55.8,56.33,55.53,59.84,57.68,54.99,55.8,56.87,56.87,56.06,55.26,53.37,54.45,53.91,54.99,57.68,58.76,60.11,60.11,60.65,59.57,60.11,61.99,60.92,60.65,60.38,61.99,62.53,61.73,61.46,61.73,63.07,64.42,64.42,65.77,64.15,66.04,66.04,66.04,65.77,67.39,69.81,71.7,73.32,71.97,73.85,74.12,73.05,73.32,73.32,71.7,70.62,71.97,71.43,71.7,70.89,72.51,71.16,73.05,74.39,72.24,72.24,70.89
BK0679,超导概念,39.62,57.68,63.34,69.0,54.99,63.88,56.87,40.16,30.73,36.66,36.39,29.92,36.93,44.47,58.76,60.65,56.33,54.18,48.25,55.53,48.79,54.45,54.18,54.99,55.53,65.77,72.24,74.93,71.16,67.12,70.89,75.47,75.47,77.9,77.63,74.39,73.58,68.19,62.53,58.76,61.73,63.34,63.34,57.68,59.03,65.5,71.7,73.58,75.74,79.78,83.83,84.37,81.94,80.32,82.75,84.1,85.98,84.64,83.29,85.98,87.06,87.33,87.33,87.33,87.6,86.25,84.64,87.06,87.6,87.33,87.6,87.87,87.06,86.25,86.79,86.79,87.33,88.41,89.76,88.41,86.52,87.87,89.49,89.22,89.22,89.22,89.22,88.95,90.84,89.49
