,NAME,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-02-07,2022-02-08,2022-02-09,2022-02-10
BK1012,PVDF概念,44.36,50.84,31.18,21.82,16.55,14.87,20.14,24.94,43.65,68.35,74.34,31.65,23.98,43.17,57.31,75.78,97.12,91.37,82.97,40.05,13.91,5.52,13.43,15.83,21.58,12.71,21.1,9.83,12.71,15.59,76.02,75.54,81.77,86.57,55.88,10.07,13.67,23.74,12.23,46.04,54.92,62.11,40.53,36.93,22.3,12.47,3.6,7.91,6.24,23.5,59.71,66.67,88.25,80.34,80.1,57.55,82.25,85.37,86.33,95.44,0.72,0.48,0.24,1.68,17.75,7.91,12.23,83.45,96.4,97.36,95.92,96.88,96.4,95.68,99.28,98.32,99.04,99.04,95.92,20.38,36.93,2.16,3.36,6.47,7.19,18.47,55.16,6.24,2.64,2.88,12.71,69.06,96.4,91.85,84.65,88.73,89.69,89.45,94.72,94.72,44.36,9.35,2.88,0.72,3.12,2.16,4.8,2.88,30.7,7.67,26.62,3.6,3.6,5.52,4.08,2.4,3.84,3.84,48.68,58.27,76.74,96.88,60.67,8.39,8.39,4.32,2.88,10.55,46.76,21.34,73.14,54.44,51.56,12.23,4.32,11.75,41.01,77.22,89.21,97.6,97.84,96.16,68.11,42.21,22.54
BK1024,绿色电力,44.12,53.0,33.33,18.94,17.99,10.07,17.99,29.74,41.01,70.5,74.1,33.81,17.99,37.41,62.83,77.22,94.0,86.33,81.29,37.41,12.71,3.36,12.95,12.47,20.62,10.31,17.03,7.43,10.31,16.07,80.34,72.66,85.13,88.25,54.92,7.91,13.91,26.86,15.35,45.08,53.96,63.31,37.65,34.77,21.58,9.83,5.04,6.95,4.56,22.06,60.43,64.75,85.37,82.49,84.17,56.83,83.21,85.13,87.05,93.05,96.16,86.81,32.85,68.11,20.38,33.09,78.18,73.14,30.22,35.01,54.92,56.12,89.21,91.13,96.88,98.8,98.32,98.08,68.35,5.76,7.19,4.08,2.64,4.8,2.16,0.72,4.32,8.39,5.04,8.63,78.9,66.43,64.27,58.03,67.15,21.82,27.1,61.87,51.08,59.47,28.3,94.96,89.69,97.84,96.64,98.32,71.46,79.62,16.31,77.22,80.1,92.81,46.52,46.04,3.84,53.48,30.7,82.73,50.6,68.82,3.84,3.12,2.16,11.51,18.94,16.79,5.76,9.83,13.67,4.8,7.67,11.99,36.69,35.73,63.07,74.82,83.93,52.76,74.1,63.55,56.59,82.01,90.89,90.17,91.85
BK1003,抽水蓄能,43.88,51.32,33.09,17.99,17.51,11.51,18.23,29.5,40.53,70.74,75.06,33.33,18.47,37.65,58.99,80.34,93.53,86.57,80.58,37.17,15.35,3.12,13.19,12.71,20.14,10.55,17.27,10.07,10.79,15.35,80.58,72.9,83.69,86.33,54.68,9.59,9.83,2.4,6.24,48.44,74.34,41.25,96.4,99.04,98.08,98.8,99.76,98.32,95.92,93.05,92.33,75.78,35.49,95.68,99.04,99.28,99.52,99.04,99.28,74.34,91.61,32.37,6.71,0.48,0.0,0.0,0.24,6.47,42.69,96.64,95.2,92.81,95.68,99.28,99.04,99.04,99.28,98.56,91.85,37.65,29.74,6.95,3.84,4.08,0.96,0.0,8.39,12.23,10.31,44.12,93.29,86.57,86.81,80.58,76.26,55.4,32.61,64.75,33.57,62.83,32.37,93.53,91.13,96.16,98.32,97.36,47.96,70.98,37.41,76.74,87.53,96.16,70.26,51.8,2.88,59.47,28.3,62.83,23.98,42.93,1.68,0.96,0.24,1.44,8.63,4.56,5.04,18.71,53.48,13.67,11.51,11.51,48.44,37.65,68.59,80.34,88.01,49.64,79.62,75.06,45.8,76.26,83.45,62.59,47.48
BK1023,培育钻石,43.65,51.08,35.01,17.75,20.14,14.63,22.3,26.86,43.41,67.15,70.74,35.97,22.3,41.25,58.03,79.14,95.44,87.53,79.38,39.09,10.79,2.64,13.91,14.87,19.9,14.87,20.38,12.23,9.11,18.23,82.01,73.62,80.82,84.17,58.03,12.47,12.71,26.38,11.99,41.73,52.52,65.47,38.37,36.21,24.94,10.31,2.16,6.24,6.71,21.1,62.11,65.23,86.09,80.1,81.29,57.31,80.82,86.57,87.77,95.92,94.48,84.65,32.61,68.35,19.66,33.33,78.9,72.66,29.98,34.05,55.4,66.91,23.98,4.08,0.24,0.24,7.43,11.27,88.49,18.94,52.76,48.2,86.09,43.41,98.56,99.52,99.28,49.4,91.13,38.37,3.12,4.56,76.5,82.73,90.41,29.74,79.86,74.1,44.12,5.52,17.99,1.44,0.0,0.0,1.92,0.96,6.24,30.46,1.92,1.44,0.72,0.24,6.95,14.15,5.76,13.91,93.29,90.89,39.81,76.74,82.97,2.88,0.0,11.27,7.91,7.19,16.07,30.94,4.32,0.48,0.72,0.72,10.55,4.32,10.79,16.07,61.87,39.57,75.06,71.94,76.5,37.89,47.96,62.11,63.55
BK1045,房地产服务,43.41,47.72,30.94,22.78,15.83,16.55,23.02,25.66,38.61,66.91,72.9,36.21,24.22,37.17,59.47,80.1,90.89,88.25,82.49,36.21,16.79,7.67,15.35,17.75,24.46,16.55,19.18,13.67,12.95,19.18,76.26,74.1,84.89,83.69,52.76,13.91,12.23,25.9,13.67,46.28,51.32,62.59,41.73,34.29,26.14,13.43,1.92,7.67,6.0,25.18,59.95,68.35,86.33,81.29,79.86,57.07,80.34,87.05,85.85,95.68,94.0,84.41,35.49,69.54,19.9,34.77,79.86,71.46,29.26,35.25,55.88,56.59,56.59,72.18,87.53,94.0,82.49,73.86,79.86,36.21,9.83,28.54,33.33,8.39,10.55,11.99,5.04,5.52,13.91,5.04,18.94,12.95,16.55,12.47,13.91,5.76,21.1,50.36,34.53,20.62,41.97,22.3,82.49,95.68,87.77,65.71,74.82,31.41,1.68,7.19,1.92,17.75,54.44,98.08,97.12,95.92,89.45,83.93,1.68,16.07,64.03,79.62,83.93,92.57,93.29,99.28,97.6,97.12,86.33,86.09,26.14,24.22,23.5,55.4,65.71,71.7,84.65,86.81,66.67,42.93,40.53,20.62,35.49,31.89,28.54
BK0493,新能源,43.17,75.78,79.38,78.42,77.22,87.77,85.37,82.01,83.21,76.98,49.64,73.14,76.98,76.5,82.49,72.42,66.91,64.99,75.3,68.35,63.07,84.89,87.77,83.93,75.3,81.29,84.65,81.06,79.86,84.41,84.89,50.36,46.76,58.03,89.69,85.37,90.41,89.69,87.53,87.77,83.45,48.68,86.81,88.25,54.68,76.74,91.85,38.37,16.55,55.4,32.37,81.29,70.74,88.73,95.92,95.2,87.29,88.01,93.53,46.04,77.22,20.86,12.71,6.0,3.12,3.84,9.83,63.31,71.94,92.57,88.73,77.46,76.26,79.86,86.09,88.49,95.44,89.45,72.9,17.75,46.04,20.86,11.03,31.18,31.18,8.15,40.29,24.46,13.19,40.05,87.77,85.37,88.73,81.77,73.14,39.57,33.09,47.24,47.0,51.56,36.93,75.06,67.15,64.99,76.74,70.74,37.41,29.98,27.1,55.16,78.18,81.06,56.12,63.79,22.3,55.88,25.9,47.72,25.42,40.77,6.95,8.63,5.76,8.87,14.15,17.51,9.11,12.71,27.34,11.51,17.27,25.42,48.2,27.82,44.84,56.83,72.9,62.11,82.49,81.77,88.49,84.17,76.5,67.39,54.92
BK0966,碳交易,42.93,67.15,72.42,76.26,76.02,87.53,93.29,87.77,84.17,65.95,11.75,9.11,26.38,15.11,45.32,27.1,10.55,8.63,28.54,33.09,43.65,65.95,65.95,62.35,33.57,53.24,79.62,83.93,87.53,90.65,88.73,58.99,55.4,47.96,38.61,58.27,67.63,73.62,71.94,74.1,80.82,73.62,93.29,96.64,93.76,90.65,94.0,82.73,66.67,83.69,81.06,82.49,63.31,77.94,89.21,94.48,87.53,82.73,93.05,55.64,51.08,27.82,8.39,5.76,2.88,2.4,2.64,11.75,36.69,78.66,81.53,76.5,70.74,61.63,67.87,53.96,72.42,44.6,19.18,10.79,18.23,13.19,12.47,42.21,40.53,28.3,45.08,36.45,18.94,32.13,66.91,82.49,63.07,63.07,55.16,41.49,47.72,63.79,61.15,88.49,81.06,84.65,79.62,77.7,65.71,59.47,42.21,49.88,41.25,74.1,85.13,89.21,88.73,80.34,50.6,58.75,37.17,36.93,30.7,56.35,19.42,33.09,26.14,40.77,50.36,48.92,40.29,51.32,50.6,26.38,16.07,23.02,39.57,51.08,54.2,66.91,63.55,35.73,34.77,39.33,44.12,69.54,80.58,76.5,71.22
BK0421,高速公路,42.69,30.22,26.38,31.89,26.86,9.11,30.7,60.19,69.78,87.77,84.41,69.3,47.72,44.6,42.21,60.67,79.86,52.28,30.7,6.71,5.76,1.68,8.63,11.51,39.57,21.82,33.81,22.3,29.02,30.7,85.37,85.85,92.81,95.92,81.53,35.49,58.03,72.9,55.64,70.26,78.18,85.61,62.35,70.02,71.22,63.31,55.16,90.17,84.41,90.17,87.29,74.82,46.76,56.83,76.26,93.76,96.16,88.73,95.92,79.86,49.88,42.69,70.98,35.25,14.63,21.1,13.19,14.63,21.82,26.62,23.26,10.07,2.88,6.71,40.29,58.27,60.91,60.19,38.37,20.86,8.63,17.99,13.43,15.83,21.1,37.89,11.51,21.82,27.58,12.47,24.94,59.71,47.72,51.08,66.91,53.72,59.71,58.03,32.13,58.27,82.01,76.98,93.53,95.92,90.41,87.05,84.17,54.68,18.47,85.13,71.7,80.82,95.2,92.09,63.55,50.84,33.81,14.39,25.66,60.91,74.58,44.36,50.36,69.54,61.39,76.5,74.1,77.7,41.25,63.07,20.38,20.38,17.51,51.32,42.45,69.78,80.1,90.89,88.01,94.96,99.04,98.56,98.08,96.16,89.69
BK0672,沪企改革,42.45,34.29,15.11,15.83,12.23,22.3,27.82,42.69,51.56,46.76,23.26,6.47,6.24,7.91,22.06,27.58,43.88,23.02,17.75,13.91,18.71,13.43,28.06,29.26,32.37,33.09,50.84,48.2,52.04,55.64,57.31,66.67,60.43,71.22,47.72,38.61,41.97,62.35,64.03,80.34,86.33,89.93,81.77,84.65,73.62,51.32,46.04,62.11,32.61,53.72,30.94,31.65,25.9,44.12,49.64,66.19,65.23,61.87,65.47,74.82,62.59,71.94,73.14,74.82,43.65,62.83,41.01,40.77,27.34,26.38,22.78,26.86,10.31,16.07,25.9,27.58,28.78,21.1,23.98,22.78,16.07,17.51,27.1,18.94,21.82,27.1,16.55,21.58,21.82,15.83,17.99,16.79,14.87,23.26,18.47,18.47,16.79,12.95,16.79,25.9,29.26,53.48,81.06,86.09,79.86,77.94,75.3,52.52,14.63,40.53,33.81,54.68,81.29,92.57,86.81,88.01,80.58,67.15,16.31,39.81,47.48,53.24,62.59,84.41,82.73,90.89,87.29,89.69,81.53,88.73,69.06,39.81,27.34,46.76,60.19,71.46,67.15,79.14,63.55,48.68,55.16,84.89,88.97,88.97,82.49
BK0669,生态农业,42.21,76.02,58.51,77.22,71.94,67.63,83.93,86.09,81.29,83.93,65.95,27.1,40.77,33.81,44.12,39.81,41.01,34.77,25.18,11.99,24.22,31.18,24.46,26.62,33.33,31.18,37.89,55.88,72.18,75.54,82.25,86.81,67.87,57.79,31.41,42.69,44.36,79.62,84.41,88.97,90.89,89.45,84.89,80.1,51.56,46.04,79.14,86.09,81.06,92.33,89.21,91.13,95.92,93.53,86.81,87.29,33.81,16.79,22.78,20.62,30.46,54.44,53.24,33.57,17.99,14.87,8.15,10.07,34.77,49.16,75.06,88.49,65.47,30.22,52.76,20.38,25.18,18.47,20.38,15.59,27.1,18.71,25.9,47.48,36.93,24.22,28.78,17.27,11.51,9.83,22.3,16.55,24.7,23.5,10.79,7.67,19.18,33.09,48.68,75.06,89.69,82.49,83.93,80.82,69.06,42.21,54.92,35.73,16.55,48.2,60.43,66.91,66.19,78.18,76.26,82.01,68.82,84.41,77.22,84.89,79.38,83.45,78.66,79.86,64.51,59.23,54.44,61.15,58.99,65.71,61.15,31.18,14.63,19.42,35.25,33.81,29.26,31.18,28.06,25.9,44.84,82.25,91.37,92.81,93.29
BK0967,水产养殖,41.97,55.16,59.47,58.51,29.02,18.47,4.56,2.64,0.72,24.22,7.19,19.18,43.65,53.96,29.02,40.77,27.58,22.3,20.14,22.78,31.65,40.05,52.52,46.76,58.27,60.67,50.6,24.94,45.56,32.61,17.03,20.86,23.26,13.91,7.67,4.56,76.02,69.3,58.03,83.69,87.29,54.44,68.35,93.53,73.14,54.68,48.2,38.61,11.75,38.85,18.71,19.18,89.93,73.14,31.89,82.73,78.9,71.46,65.95,90.89,89.45,97.36,91.13,96.88,83.21,77.7,20.14,74.34,67.63,64.99,51.08,74.1,8.15,0.48,23.02,33.33,36.21,50.12,64.99,72.42,81.29,67.39,61.87,78.18,38.61,17.99,16.07,15.11,9.59,4.32,6.95,4.32,3.36,2.16,0.48,0.96,0.96,4.08,10.07,24.22,29.74,75.3,69.78,85.13,90.65,94.0,93.05,87.05,65.71,75.06,42.69,35.73,88.01,85.37,86.09,97.12,95.44,88.25,89.21,85.13,62.35,78.66,95.2,95.44,94.96,91.61,93.05,56.12,80.82,98.08,98.32,96.4,92.33,62.59,28.78,4.56,7.19,5.28,8.87,5.04,13.67,17.75,44.84,59.95,75.78
BK0878,分拆预期,41.73,37.41,40.05,48.92,53.96,64.51,66.43,82.97,82.01,88.97,87.77,87.77,74.1,66.91,38.13,22.06,25.9,25.66,31.65,49.64,58.51,47.0,63.79,76.98,86.57,78.18,70.74,76.98,68.59,61.39,47.48,47.48,31.89,44.12,23.5,43.65,41.49,50.12,47.24,69.78,70.5,75.06,75.78,65.95,59.47,53.0,69.06,68.59,84.17,83.93,75.54,56.59,29.26,26.38,9.35,39.57,48.92,55.64,54.2,49.16,48.92,33.81,42.21,37.65,40.05,35.73,40.77,48.44,53.24,47.72,45.8,46.28,63.55,73.62,71.46,72.42,58.51,41.97,24.46,23.74,36.45,41.97,39.33,36.93,41.25,38.85,21.58,21.34,27.1,22.3,23.5,55.4,64.51,55.88,60.43,55.16,38.13,36.45,42.45,31.18,50.84,63.55,72.66,66.19,80.1,73.62,57.55,48.68,28.3,15.83,24.46,38.37,32.61,50.12,58.51,67.63,71.22,73.14,62.59,52.76,26.86,14.63,22.3,38.85,38.85,58.75,61.39,62.35,47.48,35.73,21.34,23.26,39.81,48.92,80.1,73.62,74.58,68.35,67.39,40.29,27.58,30.7,42.45,34.29,38.13
BK0847,影视概念,41.49,41.01,26.14,41.01,41.73,46.04,60.43,69.78,63.79,58.03,38.85,28.78,47.0,26.62,24.46,23.26,28.54,11.03,9.11,10.07,17.75,11.03,6.24,7.43,13.67,17.99,30.46,39.33,34.53,36.93,49.88,60.67,66.91,76.26,69.06,36.21,50.36,61.15,61.39,55.64,67.15,74.1,58.99,69.06,76.02,73.62,87.05,79.62,71.22,75.3,64.99,31.89,52.52,52.04,18.94,50.6,41.01,35.73,25.66,51.8,60.43,59.95,71.94,78.66,65.23,65.95,41.25,44.84,24.46,19.18,7.67,30.46,24.94,49.64,56.35,87.53,81.53,81.29,64.75,72.66,45.8,54.92,66.91,76.5,76.74,87.77,66.19,72.66,94.0,80.1,33.33,41.01,18.23,15.35,46.04,26.38,11.03,3.36,1.44,1.68,3.6,10.07,58.51,83.21,81.29,94.48,98.56,98.32,97.6,97.36,97.12,92.33,83.69,78.42,90.17,68.82,65.95,38.85,6.71,2.16,63.07,41.49,92.09,95.92,93.05,74.34,75.78,39.81,8.87,34.29,35.01,56.35,46.04,78.42,61.87,70.02,34.77,21.1,8.15,11.75,14.39,11.27,49.64,70.02,81.77
BK0614,食品安全,41.25,25.42,37.65,40.29,49.64,30.46,34.77,18.47,17.03,30.94,69.3,72.9,75.78,73.86,45.8,43.41,37.41,47.72,57.55,75.3,85.61,70.02,47.48,22.3,9.35,4.32,9.59,30.22,46.52,33.81,28.78,27.1,29.98,30.22,34.05,61.39,68.35,37.41,47.72,48.92,28.3,19.9,29.26,25.9,36.69,41.01,36.45,41.25,25.18,46.28,65.71,57.55,78.18,83.21,60.91,43.65,68.82,57.07,36.45,61.39,61.87,55.88,61.87,58.99,58.51,59.95,45.56,36.93,52.04,35.97,39.57,35.25,34.77,30.7,35.25,45.56,51.32,53.0,62.35,73.38,63.31,62.83,57.31,55.64,52.52,51.56,39.57,68.11,60.91,66.19,60.19,63.07,44.12,58.75,56.12,76.26,86.81,93.29,95.44,98.32,95.44,84.17,34.77,31.18,10.31,13.91,16.07,36.21,81.06,70.98,68.82,62.11,74.82,36.93,51.56,51.32,73.38,56.59,79.14,84.17,89.21,86.57,83.21,75.06,71.94,67.87,85.61,94.24,97.12,96.4,95.2,89.69,63.79,49.64,35.97,9.35,9.59,14.39,15.59,29.02,28.54,23.26,30.46,39.09,34.77
BK0534,成渝特区,41.01,57.79,44.36,47.24,41.01,44.84,50.6,58.03,73.38,79.62,63.07,64.99,54.68,50.36,43.17,31.65,29.98,28.3,23.26,29.02,42.45,40.53,59.71,70.5,70.02,68.59,72.66,64.27,71.7,70.26,60.67,66.43,76.5,78.66,82.01,79.38,68.59,70.26,64.75,64.75,68.59,77.22,76.98,70.74,68.35,69.06,66.91,65.47,73.86,81.77,74.58,72.18,62.11,75.3,78.66,89.93,77.7,76.5,75.3,51.08,58.51,58.51,44.6,32.13,31.41,19.66,19.9,45.8,50.84,61.39,70.26,79.14,71.22,68.59,74.82,70.26,64.75,41.01,24.7,16.07,20.86,15.59,13.91,23.74,19.18,14.87,25.9,23.98,20.62,20.14,28.3,28.3,39.57,45.08,40.77,41.97,49.4,71.7,70.5,87.53,91.85,93.76,94.72,87.77,82.97,82.97,77.94,40.77,41.01,80.58,66.67,73.86,76.98,73.62,53.24,54.2,47.72,51.56,41.97,40.53,52.76,64.75,59.95,61.15,63.31,59.71,43.65,49.64,40.53,29.74,18.71,17.51,22.06,25.42,43.41,64.27,71.94,77.46,76.98,70.5,51.56,58.75,60.91,54.2,54.2
BK0427,公用事业,40.77,64.99,45.08,58.27,62.11,67.39,87.05,84.41,85.85,77.46,22.78,9.83,6.71,2.64,23.98,43.17,57.55,50.12,54.2,42.21,41.25,25.9,54.92,64.75,93.53,71.94,81.06,74.34,88.25,92.57,97.6,98.08,98.08,90.89,66.91,85.13,49.4,85.37,91.13,86.33,47.96,42.69,63.31,65.71,82.25,86.33,92.09,94.72,84.65,84.89,66.67,69.78,28.3,87.05,94.72,97.36,97.6,95.92,99.04,81.29,90.65,97.6,51.32,21.82,6.0,3.12,1.2,2.16,0.48,36.93,30.94,7.43,5.04,19.66,42.93,24.46,35.01,8.87,4.8,8.15,13.19,25.42,49.16,55.88,22.54,15.35,10.07,7.67,23.98,21.1,41.73,32.13,15.35,7.19,8.63,5.28,42.93,33.57,55.16,64.99,66.43,28.54,79.14,76.74,71.94,80.58,78.66,39.09,23.74,82.73,64.75,75.54,73.14,77.94,25.9,30.94,19.9,45.08,4.8,22.54,15.83,25.66,40.05,72.66,66.91,67.39,76.74,74.58,60.43,65.23,48.2,17.75,6.0,18.23,14.39,26.14,37.89,59.95,64.75,75.3,90.89,94.72,95.2,89.69,94.96
BK0632,土地流转,40.53,55.64,52.28,46.76,36.93,21.1,36.93,22.3,16.79,32.13,25.42,14.87,36.69,57.07,56.12,62.59,58.75,33.09,19.66,5.76,6.95,15.59,32.85,31.41,59.23,53.96,76.5,47.48,68.11,66.43,74.82,59.95,70.02,70.5,37.41,28.78,30.22,44.84,42.69,63.55,78.66,74.58,75.06,85.37,76.98,59.23,81.29,88.25,74.82,84.17,84.89,78.42,76.98,68.35,58.75,78.42,53.48,29.98,38.85,47.48,40.05,87.53,92.33,84.65,54.2,45.08,15.83,15.59,14.63,29.74,47.24,42.93,15.59,14.87,29.02,9.35,11.99,26.62,43.65,35.49,55.64,59.23,55.64,48.92,52.04,48.92,32.13,18.71,14.87,7.19,12.23,9.11,23.26,19.66,10.07,7.91,11.99,17.27,25.42,58.51,70.26,68.11,70.26,79.62,51.8,41.49,59.95,26.86,6.71,24.46,22.06,32.85,65.23,89.21,83.21,89.21,67.15,34.77,4.32,10.31,10.55,14.39,56.59,79.38,86.81,95.2,95.2,93.76,90.41,89.69,53.24,30.46,15.83,17.75,18.71,56.35,63.79,76.98,68.35,57.55,65.47,69.06,75.3,75.54,79.14
BK1032,风电设备,40.29,71.94,90.65,89.69,88.49,90.65,93.05,84.17,90.65,91.37,86.33,91.61,92.33,95.2,92.33,98.8,99.28,99.04,99.28,99.04,90.17,95.2,90.17,30.22,3.12,73.14,34.77,16.55,33.33,53.96,40.53,31.41,40.29,80.1,99.04,98.56,98.8,95.68,83.45,22.3,4.8,0.48,94.0,99.28,99.52,99.76,99.52,10.31,0.0,5.52,19.42,98.56,99.52,99.76,99.76,99.76,95.44,77.94,14.87,4.8,40.29,3.84,1.2,2.88,4.08,13.43,76.98,99.04,95.2,99.28,93.53,92.57,92.33,88.73,96.64,99.52,99.76,99.52,99.76,99.04,99.28,98.8,98.08,72.42,78.9,0.24,0.0,0.24,1.92,31.65,97.84,98.08,99.04,72.18,0.24,0.0,0.0,1.44,63.79,40.29,9.35,2.64,4.8,9.11,52.52,45.56,23.74,44.6,80.82,73.14,87.29,60.19,1.2,0.24,0.0,0.96,0.72,4.8,62.35,83.21,2.4,49.88,14.39,0.24,0.24,2.16,0.48,0.0,4.08,0.24,4.08,15.59,68.59,10.79,45.32,37.89,86.33,88.25,99.76,99.76,99.76,99.76,99.04,77.94,24.22
BK0864,氢能源,40.05,74.1,75.3,83.21,83.93,88.49,84.65,85.13,79.62,77.22,82.25,82.01,83.45,85.61,84.17,61.63,54.68,56.83,58.51,62.35,76.02,85.85,88.01,92.33,95.92,91.37,98.08,95.92,97.84,99.04,98.8,96.64,91.85,59.71,11.03,27.58,35.25,75.06,88.97,90.41,81.77,36.93,71.22,29.5,13.43,36.93,83.21,54.68,50.84,71.22,53.96,85.13,64.51,77.7,92.33,89.69,40.53,25.66,33.57,8.87,12.23,8.15,4.32,3.6,5.04,6.71,11.51,58.27,80.1,89.45,89.21,83.45,92.81,88.49,88.73,64.03,81.29,27.34,12.95,8.63,27.82,19.18,25.66,51.8,40.29,20.62,42.45,18.47,10.07,27.82,82.49,97.12,95.2,94.24,94.24,81.53,57.79,54.44,60.91,92.81,97.6,95.2,95.2,73.86,67.39,36.93,37.89,32.61,45.56,41.01,90.65,88.97,86.57,75.3,72.9,49.16,17.03,49.64,42.45,49.16,12.71,25.18,2.4,12.95,15.59,23.5,19.42,24.46,34.77,6.47,3.84,10.31,24.7,8.39,11.03,25.66,36.69,27.82,63.79,73.62,69.54,80.58,75.54,59.23,47.96
BK1030,电机,39.81,64.75,61.39,71.94,84.41,88.25,89.45,90.41,90.17,88.01,82.73,90.65,90.65,88.97,81.29,89.45,73.62,75.54,88.73,88.25,88.73,95.68,93.05,81.77,59.71,65.23,61.63,34.53,70.98,84.65,51.32,31.89,32.13,4.56,61.87,79.86,79.86,84.41,81.29,53.24,57.07,19.18,43.41,31.41,44.36,29.02,52.28,16.79,60.43,39.09,51.8,78.9,67.87,73.86,85.37,62.59,46.52,49.88,24.22,14.39,34.77,15.35,4.56,5.04,6.95,10.55,9.59,77.94,92.33,94.0,90.65,96.64,94.96,98.8,92.57,79.14,84.17,86.09,53.72,46.76,92.09,85.37,65.95,64.27,54.68,28.54,60.67,83.45,74.58,97.36,97.12,95.68,77.94,96.4,96.64,98.56,94.72,97.6,62.59,49.64,55.16,49.4,4.32,8.15,5.52,1.44,4.56,14.87,40.77,38.85,55.64,54.92,36.21,21.58,7.43,4.32,4.56,10.31,61.15,65.95,78.42,77.94,15.11,4.8,9.83,1.92,7.91,13.91,44.6,15.11,67.87,49.4,59.47,34.05,16.79,26.38,29.02,32.37,33.33,59.71,37.17,55.4,45.08,61.39,51.32
BK0969,汽车芯片,39.57,6.95,76.74,74.58,73.62,41.49,8.63,0.72,0.48,0.24,65.71,82.73,89.93,94.0,95.2,97.84,97.36,97.36,96.88,91.13,4.32,37.65,8.15,2.16,0.96,30.7,5.52,6.71,0.24,2.88,2.64,3.84,4.08,65.23,76.5,87.77,85.13,53.48,36.21,31.18,3.36,8.87,2.16,4.56,5.52,13.91,0.96,13.43,47.96,0.96,0.72,3.36,0.96,0.96,28.78,39.09,50.36,79.14,73.14,84.89,82.01,81.29,73.86,45.56,40.53,41.73,96.4,80.58,85.85,76.98,76.74,62.59,89.45,85.37,82.01,95.2,92.09,93.29,97.84,97.6,93.05,92.81,75.06,57.55,61.63,62.83,42.93,54.68,25.18,27.58,11.27,13.67,94.24,94.72,95.2,97.84,89.93,25.9,19.42,28.3,55.4,95.92,62.83,33.81,52.28,21.58,0.24,2.16,34.53,2.88,3.36,2.16,2.88,1.68,5.52,15.35,61.15,70.74,82.25,49.88,58.03,27.58,15.83,12.23,11.99,5.76,7.43,4.32,3.84,7.43,42.93,71.46,93.53,85.37,86.81,58.99,65.47,48.44,71.7,65.23,60.43,25.9,6.24,4.32,7.43
