,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-15
水泥,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出版业,0.05,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
其他建材,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.04,0.04,0.04,0.04,,,,,,,,,,0.04,0.04,0.04
汽车整车,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.39,0.39,0.39,0.39,0.39,0.39,0.7,0.17,0.7,0.7,0.7,0.39,,,,
纺织,0.03,0.03,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.11,0.11,0.11,0.11,0.11,0.25,0.11,0.11,0.11,0.11,0.03,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.03,0.03,0.03,,,,,,0.03,
火力发电,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,0.03,0.03,,0.03,,,,,,,,,,,,,,,
全国地产,0.03,,,,,,,,,,,,0.03,0.12,0.12,0.26,0.47,0.12,0.03,0.12,0.12,0.26,0.12,0.26,0.12,0.03,0.03,0.03,0.47,0.47,,,,,,,,,,,,,,,
银行,0.03,,,,,,,,,,,,,,0.03,0.03,0.25,0.03,,,0.11,0.25,0.03,0.11,0.03,,,0.25,1.0,0.44,1.0,1.78,2.25,1.36,0.69,0.11,,,,,,,,,
广告包装,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.02,0.02,,,,,0.02,,,,,,,,0.02,0.02,,,0.02,0.02,,0.02,0.02,0.02,,,0.02,0.2
元器件,0.02,0.02,0.01,0.05,0.01,0.09,0.02,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.09,0.05,0.02,0.02,0.14,0.26,0.78,0.54,0.44,1.75,0.65,1.38,1.06,2.16,1.75,1.22,1.56,1.56,1.56,0.78,1.56,1.95,1.95,2.38,1.95,1.22,1.75,1.95
汽车配件,0.02,0.05,0.05,0.02,,,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.1,0.15,0.1,0.3,0.39,1.19,1.36,0.87,0.87,0.49,0.73,0.73,0.61,0.73,1.02,1.36,0.87,1.19,1.75,1.55,1.55,1.19,1.19,0.73,0.73,0.73,0.73
塑料,0.02,0.02,0.02,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,0.02
食品,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.23,0.06,0.23,0.23,0.13,0.71,0.36,0.52,0.13,0.13,0.01,0.13,0.13,0.13,0.13,0.13,0.13,0.36,0.36,0.52,0.13,0.23,0.23,0.23,0.13,0.06,0.01,,0.01,0.01,0.13
互联网,0.01,,,0.01,0.01,,0.05,0.01,0.01,,0.01,,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.05,0.01,0.05,0.12,0.05,0.01,0.05,0.01,,0.01,,,0.01,0.01,0.01,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.05
电器仪表,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.01,,0.01,0.06,0.06,0.06,0.01,0.01,0.01,0.12,0.06,0.12,0.12,0.12,0.06,0.12,0.06,0.22,0.12,0.22,0.06,0.12,0.06,0.01,0.01,0.06,0.06,0.06,0.01,0.35,0.22,0.22,0.12,0.06
铜,,0.07,0.07,,,,,,0.07,,,0.07,,0.07,0.07,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,
医疗保健,,0.04,0.04,0.01,0.04,0.04,0.01,0.04,0.01,0.01,0.09,0.16,0.09,0.16,0.62,0.79,0.97,1.4,1.17,1.9,2.18,1.9,1.64,1.9,1.64,0.97,1.4,0.97,1.17,1.64,1.17,0.97,0.97,0.48,0.16,0.04,0.01,0.01,0.09,0.04,0.09,0.04,0.09,0.04,0.16
供气供热,,0.03,0.03,0.03,0.03,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,0.03,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
航空,,0.03,0.03,0.03,0.12,0.12,0.03,0.03,0.03,0.03,,,0.03,0.03,,,,,,,,,,,0.03,0.03,0.26,0.03,0.03,0.26,0.74,0.47,0.26,0.74,1.06,1.44,1.44,1.88,3.56,0.47,4.97,6.62,1.88,2.38,0.74
家用电器,,0.02,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,0.06,0.06,0.38,0.14,0.25,0.38,0.38,0.38,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.02,0.02
通信设备,,0.01,,,,,,,,,,,,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.07,0.03,0.07,0.13,0.07,0.13,0.2,0.13,0.13,0.13,0.07,0.13,0.13,0.13,0.13,0.07,0.07,0.03,0.07
区域地产,,,0.02,0.02,0.02,0.02,0.02,0.07,0.07,0.07,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.02,0.07,0.02,0.02,0.07,0.07,0.07,0.02,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.07
半导体,,,0.01,,,0.01,,,,,,,,,,,0.01,0.06,0.01,0.06,0.06,0.06,0.06,0.73,0.73,0.06,0.24,0.13,0.54,0.54,0.24,0.13,0.37,0.37,0.13,0.73,0.54,0.73,0.73,0.96,1.81,1.21,2.52,0.73,0.54
焦炭加工,,,,,0.12,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
