,NAME,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22
BK0642,手游概念,80.32,77.09,80.05,71.43,75.74,86.25,54.99,54.45,45.28,38.01,50.13,51.75,30.73,22.91,12.94,17.25,52.56,67.39,69.27,70.89,31.54,41.24,68.46,73.85,89.49,87.06,59.84,62.26,84.91,91.64,95.15,92.72,90.57,84.1,81.67,68.46,74.12,56.6,40.7,35.31,19.95,24.26,10.51,11.86,13.48,23.18,25.88,26.15,45.01,33.69,9.43,12.67,34.23,58.49,35.04,26.68,26.68,22.37,15.36,26.15,55.53,60.11,50.13,48.25,42.32,57.41,68.19,80.05,77.36,66.58,63.88,63.88,70.62,64.42,68.46,53.1,35.04,23.72,7.55,10.78,16.17,13.21,8.89,12.13,12.67,21.29,18.87,30.73,38.27,50.67,61.99,71.7,66.31,65.5,66.04,52.29,55.53,45.82,25.07,14.56,6.74,5.66,7.28,5.66,4.58,3.5,2.7,1.62,2.7,2.96,3.5,4.31,4.04,5.93,11.59,18.6,33.15,64.15,62.53,43.4,32.35,61.99,66.04,67.39,58.49,41.51,76.28,57.41,75.74,78.98,90.84,96.5,92.18,94.07,94.34,97.04,85.98,92.45,87.33,82.21
BK0904,广电,80.05,80.32,85.18,86.52,75.47,86.79,80.59,84.91,69.54,72.51,77.63,65.77,53.1,43.13,42.59,44.74,51.75,63.88,60.92,16.98,4.85,25.34,20.49,20.22,25.61,14.02,4.31,10.24,29.11,80.86,93.26,86.52,96.5,94.07,97.04,92.72,95.15,90.84,76.28,42.86,31.0,21.56,9.16,18.6,26.42,52.83,55.8,82.75,84.37,96.77,95.42,95.69,99.73,99.73,98.65,97.57,97.3,92.18,92.72,83.02,87.06,74.66,8.63,1.35,1.62,7.55,19.95,28.3,39.35,74.93,88.95,88.41,81.94,81.4,73.05,75.47,59.3,49.06,28.57,19.95,1.08,1.08,1.35,1.35,5.93,7.82,4.04,7.55,21.02,22.1,48.25,53.37,67.92,67.12,35.85,31.81,47.44,60.65,38.81,26.42,24.53,22.64,19.41,23.45,26.95,19.68,13.48,10.51,12.13,7.55,6.47,12.4,18.06,23.99,31.81,36.12,46.09,68.46,63.07,69.0,54.45,55.8,69.54,70.08,70.35,75.47,85.98,70.62,76.55,74.93,82.48,95.42,86.25,85.18,79.51,72.24,70.08,75.2,54.18,61.46
BK0840,OLED,79.78,72.51,68.46,74.39,76.01,46.09,32.88,41.24,40.97,31.81,24.53,33.15,21.56,22.37,21.56,49.87,44.2,35.04,54.99,58.49,54.99,36.39,70.35,87.6,74.93,64.42,65.5,61.19,28.03,30.19,48.79,30.19,24.53,15.9,13.48,15.36,21.29,36.39,64.69,57.68,53.64,60.11,61.73,46.63,37.47,25.61,20.75,15.36,10.78,11.32,11.32,9.97,13.21,7.28,18.87,31.54,35.58,30.19,70.08,70.08,77.63,87.6,85.98,81.4,91.11,92.45,90.03,88.95,76.01,62.8,71.43,62.26,77.36,82.21,73.58,72.78,90.03,90.03,91.64,91.91,86.52,91.11,73.58,76.55,85.71,84.91,80.05,92.18,91.37,91.37,90.57,80.86,81.94,78.44,76.01,79.25,82.48,84.64,79.51,85.71,90.84,90.3,94.34,94.34,94.88,95.69,94.61,87.06,85.98,78.98,66.31,70.89,48.52,17.25,11.86,22.37,10.24,11.86,14.29,42.32,42.05,38.27,29.65,33.42,40.16,42.59,39.35,36.66,29.11,14.29,15.63,22.37,12.67,26.95,22.64,29.38,62.53,42.05,29.11,26.95
BK0877,PCB,79.51,77.36,76.28,83.83,92.18,61.99,42.05,57.14,28.03,12.94,11.59,12.4,11.32,8.36,5.12,16.17,22.64,14.82,31.81,65.23,64.42,35.85,60.38,85.44,84.64,81.13,85.44,80.59,76.01,57.14,83.56,83.29,77.9,69.27,59.03,47.98,38.81,57.68,63.61,59.03,32.61,19.95,16.71,6.74,4.31,1.89,0.81,0.81,0.54,1.62,2.16,3.23,4.04,3.5,4.31,28.84,29.11,21.02,63.07,60.38,63.34,77.9,83.02,78.98,90.3,91.64,90.84,88.41,71.16,48.79,50.13,46.63,69.54,68.73,63.61,37.47,66.58,80.05,76.82,89.49,89.76,89.49,69.54,84.37,92.18,95.15,88.14,90.84,92.72,91.64,87.6,77.9,82.48,73.05,59.84,66.04,66.31,67.12,47.71,61.99,90.03,92.72,95.96,94.61,95.42,96.5,96.23,91.91,95.96,93.53,49.6,53.37,12.13,6.74,2.16,16.71,6.47,5.66,5.93,25.34,21.83,16.98,9.16,16.44,20.49,18.33,20.49,24.8,16.17,10.24,11.32,12.13,9.97,14.02,12.67,12.94,21.02,15.63,11.05,5.66
BK0667,国家安防,79.25,67.92,59.57,66.31,65.23,43.67,31.54,26.15,9.43,13.21,14.56,18.6,20.22,27.22,26.95,36.39,56.33,62.53,76.01,77.09,64.69,62.8,64.42,58.22,72.51,74.12,48.79,45.55,47.44,55.53,61.73,71.97,76.28,82.21,69.27,64.15,77.36,68.46,59.57,53.37,39.08,31.54,19.95,11.32,11.32,11.59,12.67,12.94,19.95,31.0,35.31,40.43,60.11,65.77,68.46,65.77,58.49,50.13,45.28,30.19,49.87,51.75,39.89,38.27,44.74,63.34,72.51,77.36,87.6,92.99,94.07,92.99,90.57,91.91,92.18,90.84,82.21,79.25,50.67,49.6,32.08,41.78,17.25,18.33,21.29,35.58,37.74,54.45,54.72,71.7,67.65,50.4,60.92,69.0,70.62,66.58,71.7,69.54,71.97,49.33,59.3,43.13,60.11,60.38,56.06,57.95,54.18,64.15,67.39,61.99,59.57,72.24,72.51,47.44,36.93,31.0,32.35,22.91,19.41,36.12,22.37,19.41,19.68,28.03,36.93,32.35,27.76,27.76,21.02,11.59,12.13,17.52,18.6,12.13,10.24,12.13,5.93,7.55,10.24,16.98
BK0512,化工原料,78.98,82.75,37.47,35.85,16.17,12.4,25.34,33.15,52.56,54.18,70.08,61.46,92.18,85.44,84.37,48.79,17.52,12.67,5.66,5.12,9.16,3.5,3.5,15.9,19.41,78.98,88.41,84.91,76.82,35.85,36.39,39.08,14.56,16.71,14.29,13.48,8.09,17.52,60.38,76.82,79.25,81.4,84.1,89.22,95.15,95.96,95.42,94.88,92.45,91.64,91.11,90.84,88.41,64.69,21.02,8.63,31.81,31.27,55.8,73.05,67.92,80.32,91.91,95.42,95.42,95.42,94.61,95.15,90.84,91.11,85.98,65.5,59.57,43.67,28.57,8.89,18.87,5.12,19.41,28.84,34.5,56.06,46.9,65.5,86.25,94.34,94.88,92.72,92.45,93.53,93.8,95.96,95.15,96.5,96.77,93.53,95.15,96.23,94.61,92.72,83.56,78.98,76.82,50.13,55.26,38.27,42.59,12.67,21.83,14.29,27.76,54.18,70.08,92.72,93.53,91.91,92.99,96.5,97.04,95.15,97.84,97.84,94.61,95.69,96.5,96.23,95.15,95.96,91.64,79.78,84.91,84.64,90.3,79.25,84.1,90.57,96.77,95.96,98.11,99.19
BK0970,生物识别,78.71,61.19,47.71,57.41,61.73,45.01,26.42,33.69,12.94,8.63,6.2,2.7,1.08,0.81,1.35,2.7,9.16,24.8,40.43,60.38,52.83,79.78,92.72,94.34,94.88,82.75,65.23,31.27,50.4,79.51,79.25,61.46,80.59,87.6,87.33,86.52,93.8,91.11,89.22,75.2,65.5,84.91,51.48,22.64,19.41,37.2,26.95,40.16,41.78,52.56,56.87,25.88,55.8,45.55,58.49,52.29,61.46,44.74,43.13,30.73,60.92,76.28,52.56,73.85,64.15,77.9,76.28,82.48,86.52,86.25,89.76,84.91,91.11,92.72,90.57,76.01,74.12,64.15,29.11,62.53,44.74,65.77,32.35,23.99,43.4,66.04,53.37,77.9,78.71,74.93,51.75,20.75,19.95,18.06,13.48,16.98,27.49,18.6,14.56,12.94,34.5,26.42,58.76,58.22,55.53,35.85,28.57,23.45,41.51,31.81,14.82,23.99,17.79,4.58,2.43,9.16,15.9,21.83,17.52,16.71,15.63,11.05,10.51,12.67,19.68,21.02,10.78,8.89,14.56,23.18,27.49,48.79,45.55,59.03,50.13,70.62,53.91,73.58,46.09,31.81
BK0603,页岩气,78.44,90.84,97.3,98.92,98.38,97.3,97.04,97.57,97.84,96.5,96.5,95.15,68.46,50.94,45.28,26.42,55.26,42.59,9.43,31.81,75.2,82.21,70.08,47.98,72.24,94.88,86.52,92.72,97.57,91.37,57.14,47.17,74.66,78.98,31.0,5.12,4.04,3.77,1.89,4.04,3.23,0.81,2.43,20.49,52.56,87.87,88.14,85.98,85.18,85.18,88.14,97.3,98.92,92.18,91.37,38.27,38.01,20.75,32.08,39.35,34.23,13.48,50.94,60.11,15.9,26.42,36.12,60.65,47.71,79.78,72.24,86.52,45.28,36.93,52.83,70.89,65.5,52.02,76.01,29.65,25.07,6.47,12.67,29.11,23.72,7.55,17.25,19.41,38.01,38.81,53.1,60.92,65.77,63.61,55.26,51.75,43.94,53.91,40.97,66.04,62.8,57.95,58.49,61.19,60.38,57.14,65.5,63.07,69.0,63.88,69.0,80.05,80.59,83.56,96.5,93.26,95.42,91.91,92.99,91.91,91.37,87.87,92.99,92.45,77.63,82.48,73.58,86.79,84.37,89.76,87.87,90.84,96.23,92.99,92.45,95.96,97.04,95.69,95.15,94.34
BK0433,农牧饲渔,78.17,81.4,78.71,38.01,8.63,21.02,21.83,16.71,7.28,17.25,13.75,31.0,20.75,17.25,27.22,46.63,46.63,64.69,55.53,64.69,82.21,17.52,25.88,22.91,12.4,5.12,3.77,3.5,15.9,84.37,20.75,13.48,10.78,14.56,18.6,18.06,15.09,10.78,5.39,0.54,2.16,1.08,10.78,21.02,25.61,18.6,30.19,50.94,36.93,22.37,23.99,45.01,21.83,9.16,7.28,10.78,3.5,3.23,7.82,6.47,7.82,15.09,38.81,26.95,32.61,23.72,28.03,21.29,12.4,9.16,12.4,12.94,3.23,4.31,1.35,9.16,10.51,9.97,19.14,60.38,77.9,43.4,70.08,78.98,81.4,81.94,71.7,64.69,59.03,18.87,15.36,27.76,18.6,12.4,19.41,4.04,6.74,3.77,6.47,25.07,29.65,20.22,26.95,31.81,28.03,38.54,31.0,48.25,40.16,45.01,39.62,42.32,41.51,64.69,57.68,43.94,51.75,33.42,35.04,11.32,9.7,20.49,25.61,4.04,6.2,11.86,18.87,28.3,51.48,55.26,50.4,49.06,61.99,71.97,66.31,59.3,53.37,91.37,80.59,67.39
BK0580,LED,77.9,70.08,66.31,75.74,85.98,60.38,44.74,61.73,51.48,36.39,26.68,36.93,29.11,22.64,12.67,22.1,25.61,10.78,12.13,27.76,36.12,26.42,54.45,91.11,91.37,88.14,82.75,82.21,80.86,80.59,83.02,79.51,69.54,32.61,29.11,23.72,52.02,72.51,83.02,74.12,65.77,63.07,61.46,51.75,39.35,40.16,30.73,27.49,21.02,38.01,43.13,45.55,52.83,72.51,85.44,87.87,83.29,81.13,86.79,84.64,84.64,83.02,77.09,67.39,81.67,84.64,83.56,82.75,66.31,57.14,75.74,82.75,88.41,87.33,84.64,88.68,93.8,92.18,94.61,95.42,92.45,91.91,85.44,91.64,94.61,94.07,91.11,93.8,91.11,90.57,86.79,79.25,75.47,71.16,54.72,72.78,87.6,90.57,91.64,94.07,95.96,93.53,95.69,93.26,92.99,83.83,76.55,59.03,48.52,5.93,8.36,30.19,6.47,5.12,8.89,29.11,10.51,8.36,16.71,47.17,44.2,24.26,18.06,21.02,19.95,21.83,14.29,13.21,6.47,4.58,4.58,7.82,6.2,11.05,9.7,13.48,20.75,21.02,14.02,18.33
BK0595,风能,77.63,84.64,86.52,85.18,90.57,71.43,85.44,96.23,97.04,94.34,90.84,89.22,96.23,98.11,97.57,97.57,97.04,87.06,83.02,87.87,86.52,94.34,93.26,56.33,23.99,75.47,44.47,77.36,66.85,17.52,12.13,5.93,5.12,14.82,8.09,2.16,4.85,8.36,5.93,8.63,16.71,22.91,33.42,40.97,43.67,60.11,55.26,44.47,36.39,43.4,35.04,38.81,58.22,47.71,63.88,35.31,38.27,53.37,64.96,65.23,57.14,44.74,45.01,31.0,12.94,18.6,26.95,27.49,28.3,36.93,33.96,39.89,38.01,42.86,53.91,59.3,62.8,73.85,80.05,71.43,76.28,74.39,67.65,79.78,70.89,74.93,74.39,67.39,75.2,64.69,74.39,83.02,82.21,80.59,82.21,76.55,75.2,78.98,77.9,84.37,80.86,77.63,76.28,83.02,82.48,85.71,86.25,87.6,83.83,82.75,75.47,84.37,85.18,73.58,71.97,81.13,77.9,72.24,76.55,90.84,88.95,87.06,84.1,80.32,87.6,82.75,79.51,93.53,95.42,93.26,94.34,93.8,91.91,91.64,91.11,94.07,96.23,89.22,94.07,97.3
BK0854,华为概念,77.36,71.97,61.73,73.05,74.93,51.75,40.43,45.01,31.0,25.88,22.1,27.49,20.49,20.75,18.06,34.5,41.24,51.75,59.84,62.8,49.33,45.55,64.96,72.51,74.39,61.46,49.87,39.89,36.39,57.95,69.27,59.84,66.58,74.66,65.23,61.99,76.55,74.12,67.65,53.1,49.06,49.6,31.27,17.52,16.98,19.95,15.36,20.22,20.75,32.61,40.97,45.28,62.8,71.7,75.74,81.4,82.75,76.28,82.21,78.98,82.21,82.21,78.71,74.39,81.4,83.56,85.71,85.44,91.37,92.45,94.88,92.45,90.84,91.11,90.3,88.14,87.6,87.6,71.16,73.85,53.1,66.04,40.7,46.9,61.99,71.97,67.92,77.63,80.05,82.48,83.56,73.05,71.43,64.42,58.49,60.65,67.39,67.65,64.42,49.87,63.07,56.6,70.89,76.28,72.78,72.51,71.16,63.34,69.27,68.73,56.6,68.73,64.69,37.2,23.18,26.68,21.56,25.34,24.26,39.89,32.88,25.07,18.6,22.91,33.69,36.39,34.5,32.35,29.38,19.95,23.72,30.46,27.22,27.76,24.53,32.08,36.39,27.49,20.75,20.22
BK0742,创业板综,77.09,73.05,64.42,78.17,77.9,55.8,41.51,55.8,38.81,33.42,38.27,46.63,42.86,38.81,46.09,54.99,61.99,54.45,68.46,73.58,41.78,27.22,19.95,22.64,29.38,40.16,37.74,36.12,17.25,27.49,53.1,42.86,56.87,59.57,43.13,37.74,53.91,49.6,61.99,55.26,43.94,39.35,35.85,29.92,26.95,25.34,26.68,28.57,32.88,43.94,41.51,53.37,60.92,75.74,78.44,77.9,73.05,77.09,73.58,63.07,74.39,76.55,73.05,62.26,64.96,68.73,67.65,65.23,67.39,75.74,73.58,76.01,75.74,73.85,78.17,83.02,81.67,81.94,77.63,77.9,70.08,72.24,62.8,66.31,69.0,67.92,73.58,76.01,78.98,78.17,78.71,75.2,69.81,60.65,52.83,59.3,61.46,64.69,58.49,51.21,52.29,47.17,68.73,76.82,76.55,82.48,78.17,76.01,74.66,80.86,82.75,82.48,76.28,67.65,63.34,50.67,43.94,43.67,42.86,68.19,56.06,43.67,38.27,29.92,28.03,28.57,18.6,29.11,30.46,20.22,18.06,18.87,19.14,22.1,27.76,31.27,45.55,40.16,41.24,33.96
BK0886,智慧政务,76.82,65.5,53.37,55.53,63.88,54.18,33.96,27.49,5.12,9.16,18.33,20.75,17.52,17.79,11.59,35.58,65.23,92.45,95.96,92.18,63.07,85.18,89.76,85.18,88.68,74.66,50.4,24.26,42.86,86.79,94.61,83.56,88.41,85.98,82.48,81.94,85.71,71.7,49.6,19.95,12.94,11.59,5.66,8.36,15.09,18.06,21.83,46.9,52.29,53.91,56.33,63.61,59.57,30.19,25.07,63.07,58.22,51.48,42.59,46.09,54.45,75.2,80.59,84.37,74.39,69.0,71.43,64.69,94.61,96.5,96.77,93.53,93.26,88.14,89.49,73.58,54.72,36.12,0.27,0.54,0.81,1.89,0.54,1.89,2.43,6.47,4.58,33.96,32.61,65.5,73.58,60.38,47.98,39.62,46.09,32.61,54.45,37.74,36.66,7.82,8.36,5.12,14.82,22.64,19.68,43.94,38.81,21.83,36.39,53.37,41.51,55.53,69.54,48.25,38.81,12.67,29.38,44.2,33.69,41.24,29.65,28.3,11.32,24.8,44.47,38.81,39.08,29.65,39.08,26.68,22.64,35.04,36.39,24.53,17.52,28.3,19.68,32.08,21.56,20.49
BK0597,水利建设,76.55,78.44,89.76,88.41,91.91,89.76,82.75,91.64,91.11,91.37,89.76,89.49,85.71,92.18,93.8,90.57,93.53,84.1,73.58,70.35,71.16,89.49,88.95,56.6,26.15,59.03,27.49,42.86,51.48,14.56,14.56,5.66,11.86,25.34,29.38,18.33,35.04,31.0,15.9,18.87,22.91,27.22,24.53,27.49,30.46,34.5,34.23,26.68,33.42,29.65,21.56,15.9,29.11,25.34,29.92,33.15,24.8,28.84,35.85,33.42,46.63,43.94,54.45,52.02,24.8,20.75,35.31,42.32,38.01,46.09,35.58,43.4,30.73,29.92,39.08,44.47,34.5,38.81,32.61,30.46,23.18,25.61,31.27,41.24,47.17,47.71,50.4,35.58,45.01,47.98,53.91,60.65,56.87,61.19,56.33,49.06,67.65,63.61,69.0,76.55,69.0,67.92,65.23,66.04,67.39,71.16,60.11,69.0,67.12,42.32,53.64,66.85,67.92,66.31,58.22,73.32,78.98,74.12,66.85,71.43,70.89,64.69,69.0,73.32,81.13,72.24,74.39,82.75,84.1,84.37,85.44,87.87,87.87,86.25,81.94,78.71,73.58,57.41,67.12,79.25
BK0949,氦气概念,76.28,95.15,96.5,96.23,89.22,71.7,99.46,99.46,98.65,96.23,92.45,56.6,18.06,46.63,93.53,98.92,56.87,7.82,9.97,26.15,14.02,33.69,48.79,61.73,95.96,83.02,96.5,99.19,98.92,97.84,97.84,96.77,97.3,99.73,20.49,10.51,27.76,3.5,12.13,44.47,30.73,23.99,20.49,7.82,12.94,21.56,4.85,2.16,2.43,0.54,1.89,3.77,12.67,4.58,20.49,18.6,16.71,16.71,46.09,48.52,72.78,83.29,66.04,73.58,76.82,67.65,49.33,53.1,27.76,24.53,10.51,7.01,28.3,44.2,37.2,21.02,57.41,51.21,67.12,77.36,87.6,88.95,76.55,47.17,50.13,58.22,73.85,87.33,85.18,87.06,88.14,74.12,77.09,70.35,88.68,94.61,89.22,91.11,91.91,93.8,89.49,90.57,92.99,98.38,98.38,98.92,98.92,97.04,97.84,98.65,97.84,99.19,98.38,94.34,99.19,99.46,99.46,99.46,99.46,99.46,99.19,97.3,94.88,97.3,79.51,17.25,0.0,3.77,0.27,0.27,1.35,0.0,2.96,0.0,0.0,1.08,42.05,10.51,18.6,18.6
BK0490,军工,76.01,78.17,81.94,85.44,72.51,38.81,33.69,29.92,35.04,40.43,35.58,36.66,26.15,38.01,46.63,51.48,46.9,42.86,47.71,48.25,57.68,28.57,28.03,17.52,24.26,38.27,46.9,46.9,34.23,18.33,21.29,42.32,46.63,51.21,45.55,35.58,38.27,39.08,49.06,49.33,50.67,36.39,29.92,31.54,28.84,34.23,39.62,29.92,31.27,45.55,36.12,50.4,66.31,55.26,46.9,46.36,42.32,56.06,57.41,47.71,65.5,50.94,49.87,46.09,56.6,65.77,70.08,74.39,77.63,70.08,70.62,76.55,75.47,73.05,82.48,86.52,78.71,78.17,73.85,77.09,59.3,62.53,38.54,35.04,23.18,26.15,43.94,69.0,73.85,78.44,77.9,73.58,81.13,84.91,84.91,85.18,85.71,77.9,82.75,81.4,84.37,79.25,81.13,78.71,79.51,80.05,81.13,90.84,86.25,83.56,85.44,90.84,89.76,87.06,80.86,79.51,74.93,65.77,70.62,87.6,76.28,62.8,69.81,60.38,76.28,77.09,53.91,51.48,33.69,16.44,21.02,20.75,20.22,18.87,15.09,8.89,28.57,16.71,22.37,39.62
BK0714,5G概念,75.74,67.12,58.49,67.92,67.39,47.44,35.58,39.08,18.6,16.44,17.79,21.83,16.44,17.52,16.98,32.61,33.15,31.81,50.13,56.87,34.5,24.26,50.13,64.42,65.77,39.08,47.17,39.62,24.8,26.15,46.09,44.47,41.24,35.85,27.76,26.68,40.97,43.67,53.64,48.52,40.97,39.89,31.81,22.37,20.49,16.98,13.75,11.32,11.05,13.75,13.21,14.56,28.3,31.0,34.77,58.49,54.99,60.92,74.39,68.73,73.32,73.32,72.24,76.55,85.98,89.49,91.64,88.68,89.49,88.95,90.3,90.57,92.18,86.79,87.33,80.32,82.75,85.18,69.81,79.78,61.73,69.54,25.07,26.15,39.35,59.03,49.06,65.77,74.39,78.98,75.74,70.08,74.12,70.89,69.27,71.43,72.24,71.97,68.73,60.65,78.17,79.51,88.14,88.68,88.14,87.87,87.33,85.18,87.6,85.98,70.62,73.05,63.61,39.89,22.1,31.27,20.49,27.49,22.64,36.93,28.3,19.14,16.44,13.75,23.72,24.53,16.17,14.29,9.97,9.97,13.21,15.09,14.56,18.33,16.44,22.37,36.93,30.19,24.53,24.53
BK0957,拼多多概念,75.47,76.55,73.58,39.89,26.95,33.42,11.05,18.87,7.55,15.36,15.09,12.13,11.05,19.14,11.05,33.69,66.58,57.14,66.85,57.68,58.22,65.23,32.35,76.01,81.94,80.32,73.32,90.57,94.61,95.15,96.23,90.57,92.18,73.85,71.7,71.7,36.66,1.08,2.96,11.32,7.55,16.17,16.98,11.59,12.13,7.55,5.39,10.78,8.09,3.23,0.81,0.54,0.54,0.27,0.54,1.89,1.35,17.25,44.2,37.47,66.31,85.44,91.64,80.59,69.54,75.74,76.82,51.48,50.4,38.01,22.64,15.36,14.02,16.44,26.42,19.68,8.63,13.75,2.7,4.58,3.5,3.5,6.47,9.43,14.56,10.24,11.32,10.51,6.74,21.56,33.96,25.07,16.17,18.6,10.78,12.67,7.55,6.47,5.66,6.47,8.89,12.67,19.95,22.1,19.41,27.22,30.73,47.44,47.71,69.54,73.58,55.8,64.15,65.23,87.6,67.39,75.47,70.89,77.63,52.83,48.25,86.25,74.66,76.55,66.58,73.32,78.44,77.36,88.41,88.14,83.83,82.21,83.83,85.71,63.07,59.03,31.54,28.3,8.36,18.87
BK0955,C2M概念,75.2,56.87,50.67,54.18,35.58,47.98,60.92,57.68,55.26,53.37,67.65,69.54,90.84,88.95,85.71,64.96,74.39,78.71,94.07,88.95,81.13,83.29,81.67,83.83,89.22,96.23,94.07,93.8,90.03,85.44,87.06,82.21,67.65,57.68,46.63,63.07,66.31,45.55,21.29,66.31,75.2,76.82,62.53,67.65,70.35,60.38,60.11,77.36,78.98,61.19,33.96,22.37,36.12,25.61,34.23,41.78,32.61,25.88,33.42,43.13,48.79,74.12,80.05,82.48,81.13,74.93,82.75,79.25,78.17,80.59,80.59,75.74,67.65,61.19,63.88,59.84,53.37,56.33,56.87,60.65,68.19,58.22,68.46,77.09,68.19,69.54,75.47,62.8,58.76,48.25,45.28,56.87,40.16,29.38,31.27,35.31,24.26,22.1,19.95,28.03,16.98,10.24,18.33,25.88,26.15,23.99,24.8,27.76,25.61,22.1,55.53,52.83,50.67,47.17,45.55,26.95,26.95,33.69,40.7,48.52,31.0,49.87,45.28,31.27,27.76,35.58,42.05,40.16,42.05,36.12,34.23,23.72,20.75,23.72,33.42,20.22,16.17,13.75,7.01,4.04
BK0928,抖音小店,74.93,76.82,77.9,56.87,34.23,41.78,39.35,27.22,39.35,35.58,40.43,56.33,72.78,67.92,71.97,79.78,68.19,89.49,95.69,92.99,90.3,81.67,75.2,87.87,85.71,91.64,89.22,87.6,92.99,81.4,84.64,83.02,62.53,38.27,63.88,60.92,70.62,19.41,8.36,25.61,31.54,50.67,43.67,36.12,18.87,12.13,6.2,19.95,24.26,24.53,8.09,7.01,7.55,21.83,28.57,35.04,62.8,58.76,59.57,42.86,55.8,59.57,83.56,80.05,82.48,73.58,69.81,62.8,55.53,49.33,23.99,32.88,14.56,14.82,8.36,9.43,6.74,8.89,6.47,30.73,60.38,28.84,51.21,42.59,29.65,25.07,26.42,9.16,9.43,10.78,15.63,42.86,31.0,33.42,55.53,45.55,23.72,25.34,44.47,43.67,22.1,11.86,16.98,16.17,12.67,12.13,15.63,19.41,9.97,16.17,22.37,25.34,27.22,40.43,56.87,55.8,50.94,60.38,66.58,29.11,21.56,31.0,31.81,15.36,9.43,10.78,19.41,21.29,23.45,31.54,46.36,56.87,52.29,44.2,52.56,39.62,32.35,76.28,66.04,37.2
BK0641,智能穿戴,74.66,54.18,45.82,51.48,65.5,36.39,30.73,31.27,12.67,6.74,5.93,4.85,5.66,6.2,4.85,7.28,16.71,17.52,38.54,51.48,59.84,60.38,79.51,86.52,83.29,76.55,77.36,63.07,62.53,83.29,80.86,66.58,54.72,61.46,47.71,56.06,71.16,80.05,76.55,53.91,52.83,64.69,59.57,35.58,27.76,19.41,10.51,6.2,7.55,8.36,8.36,4.58,7.82,11.32,23.72,45.28,54.72,64.15,82.75,80.86,81.94,89.22,80.32,78.17,89.76,91.37,90.3,87.87,79.25,71.43,79.25,80.32,83.83,83.29,83.02,76.55,87.06,89.22,84.37,89.76,81.4,80.86,57.68,54.18,61.46,63.88,45.82,68.73,63.34,63.88,53.64,28.84,33.42,32.08,14.82,25.34,20.75,11.86,14.02,16.17,44.47,56.33,68.19,70.89,64.42,41.78,58.22,59.84,66.85,59.57,38.01,40.97,34.77,13.48,15.9,24.8,14.82,12.13,14.02,16.98,15.09,6.74,5.93,11.05,13.21,14.56,13.21,12.4,7.28,12.4,14.82,32.08,24.53,37.74,40.43,53.64,49.6,57.95,58.22,41.78
